batch_id,report_ids,cohort_ids,n_reports,model,prompt_file,prompt_sha256,extractor,started_utc,completed_utc,seed,pdf_sha256,shard_sha256,status,notes
F01,chan2019 chan2020 chan2022 chang2016 chang2016b,hk_easy_2001,5,claude-opus-5,config/prompts/extraction_v1.md,ef86bf371aa136ffd527efa08f410eacfff2078be6d61ebba02beab51f0af849,claude-opus-5,2026-08-12T12:54:59Z,2026-08-12T13:25:19Z,,chan2019:fbe4e08bafebda63 chan2020:5dccdb14cf6fa726 chan2022:eb7e94f8207ecbc6 chang2016:fb1432e7abce5a21 chang2016b:540c1cc7ecea14f4,f62a4a0bf9b64258bad64a36bcefd2795752b6f95086af6f04cdddf9ce7a2a40,complete,"1 component(s); chan2020 has NO confirmed cohort; batched with hk_easy_2001 on a triage hint only, confirm or refute from the paper; shard_sha256 restamped 2026-08-13 by claude-opus-5: old fac1e702850b7676cf5f3f9e63e4867c89eb81296209c44bdb46cf7671b66752, new f62a4a0bf9b64258bad64a36bcefd2795752b6f95086af6f04cdddf9ce7a2a40; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F02,evensen2017 evensen2019 gjerdalen2023 klungsyr2021 lystad2017,jump_norway,5,claude-opus-5,config/prompts/extraction_v1.md,ef86bf371aa136ffd527efa08f410eacfff2078be6d61ebba02beab51f0af849,claude-opus-5,2026-08-12T12:54:59Z,2026-08-12T13:25:19Z,,evensen2017:0c869a347b3568d3 evensen2019:7abe576f1e3ad8ba gjerdalen2023:40cb3e610f0653da klungsyr2021:fdf6a8ab4f614e76 lystad2017:a9771f63cc9f3d24,4c884cda2a7b0d5e54fe52d73a8224fcb46adf5aab25330f20248a5f692e3aa6,complete,"1 component(s); shard_sha256 restamped 2026-08-13 by claude-opus-5: old cd5dfe204256ce0bd05ca8a47ac5a87a8d56d7f54a18a2ee86e04691ea256bfa, new 4c884cda2a7b0d5e54fe52d73a8224fcb46adf5aab25330f20248a5f692e3aa6; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after; and redaction of three corresponding-author email addresses out of unresolved_queries.md into private/contact_log.csv"
F03,ayesaarriola2020 mayoralvanson2019 basaraba2023 nossel2018 benson2022 lin2022,ontracky_ny pafip_spain us_vha,6,claude-opus-5,config/prompts/extraction_v2.md,d1a8551a2c06cdd948c649de4cde927606d5b1d670176e6896de2569c8de6eaa,claude-opus-5,2026-08-12T13:26:29Z,2026-08-12T17:13:49Z,,ayesaarriola2020:20cb1ead808db9ea mayoralvanson2019:193feb25e032579d basaraba2023:6767ef73981fde2f nossel2018:910d60a2e00798d7 benson2022:e3b17b6ec4264095 lin2022:a00388d810da49ff,04d4104e541a9e2c6e96dfa305f90a7c4dab7d62d23db5382ebe8d82eeef56e3,complete,"3 component(s); benson2022 has NO confirmed cohort; batched with us_vha on a triage hint only, confirm or refute from the paper; shard_sha256 restamped 2026-08-13 by claude-opus-5: old d0edee9276e03b5f233e782e8be6cb80b1f8ef4379d8a22f8459cf42201331eb, new 04d4104e541a9e2c6e96dfa305f90a7c4dab7d62d23db5382ebe8d82eeef56e3; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F04,clarke2023 killackey2019 harrow2017 jones2024 khare2022 khare2022b,chicago_followup eppic_ips_rct pune_public,6,claude-opus-5,config/prompts/extraction_v2.md,d1a8551a2c06cdd948c649de4cde927606d5b1d670176e6896de2569c8de6eaa,claude-opus-5,2026-08-12T13:26:29Z,2026-08-12T13:53:20Z,,clarke2023:646a8905cc8d58f2 killackey2019:7d6c03d2c37d95e0 harrow2017:fa75fe20525bc05a jones2024:a5b93218ddae12d6 khare2022:e8742153093cdf64 khare2022b:cda7644ce896ea2f,d5b93583031c602e6d6a6e32cfa7c2d894e39230b37b2d0b4a14319c83afabc8,complete,"3 component(s); killackey2019 has NO confirmed cohort; batched with eppic_ips_rct on a triage hint only, confirm or refute from the paper; shard_sha256 restamped 2026-08-13 by claude-opus-5: old c5c8fbf843893afbfe477712da203098d2b2767da31f42cc75c649577018c549, new d5b93583031c602e6d6a6e32cfa7c2d894e39230b37b2d0b4a14319c83afabc8; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F05,strassnig2017 strassnig2018 wang2020b wang2020c andersen2024 andersen2026,dk_eop_pooled headspace_hep_au suffolk_county yuli_taiwan,6,claude-opus-5,config/prompts/extraction_v2.md,d1a8551a2c06cdd948c649de4cde927606d5b1d670176e6896de2569c8de6eaa,claude-opus-5,2026-08-12T13:26:29Z,2026-08-12T13:50:18Z,,strassnig2017:97d05e038e9d44d2 strassnig2018:9f461a476b572386 wang2020b:181ceab7934001ca wang2020c:5515352816f87da4 andersen2024:c750d27ccbb790eb andersen2026:f10d4370f47ebe61,06492071724ae087a189ef731aff4d6d9aa5cf38c0f63c87a9e62838bc94d00f,complete,"4 component(s); shard_sha256 restamped 2026-08-13 by claude-opus-5: old 96f214a95cc7de9a78920411998aa744b1b479ff851a030493afcba7d665f1d3, new 06492071724ae087a189ef731aff4d6d9aa5cf38c0f63c87a9e62838bc94d00f; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F06,baltazar2022 bell2018 bhullar2018 blackman2025 bonnesen2026 conus2017,cross_tracks_dk eppic_melbourne_1998 iusmm_montreal nimh_ctnb pepp_ontario_1997 va_ct_vr,6,claude-opus-5,config/prompts/extraction_v3.md,ec136411256b09bad6c9d7d9bf440a666266782934c483540a21fb563b77e32c,claude-opus-5,2026-08-12T13:51:45Z,2026-08-12T17:13:49Z,,baltazar2022:eac96b2c79e6ac73 bell2018:d140594b9541a7e8 bhullar2018:b3b850d7a2baf4de blackman2025:9967212938659f5a bonnesen2026:32852d9535c41f1a conus2017:a3aecd9246b2332c,cdadb0d5985ccebd7684ed68bca428b3cf60f8508639da39cd82a32db1286011,complete,"6 component(s); shard_sha256 restamped 2026-08-13 by claude-opus-5: old 609d3ce29bf90ca1c95be480a0768347d1a86f92287921f44c554ee4a051ce87, new cdadb0d5985ccebd7684ed68bca428b3cf60f8508639da39cd82a32db1286011; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F07,cook2016 detore2019 domenicano2025 drake2015 falk2016 fulford2018,ct_dual_diagnosis eidp_usa eis_ferrara hartford_ips_rct raise_etp stockholm_2005,6,claude-opus-5,config/prompts/extraction_v3.md,ec136411256b09bad6c9d7d9bf440a666266782934c483540a21fb563b77e32c,claude-opus-5,2026-08-12T17:20:47Z,2026-08-12T17:51:54Z,,cook2016:d5357cd60dee6cb9 detore2019:7eabc014e29e7e37 domenicano2025:c598834dec4e438b drake2015:5f063901887b8908 falk2016:a1a80ef1615f259f fulford2018:e1092b2af83f196f,65b04f9266ae71f1ef81a969f660e0bcec9853ae9ecd586747fe897c72d96456,complete,"6 component(s); shard_sha256 restamped 2026-08-13 by claude-opus-5: old 539f26c3f77d1b5a58bfd6393fc1fc0f5ccbc6bfaed0eef23f23c7429dbb989c, new 65b04f9266ae71f1ef81a969f660e0bcec9853ae9ecd586747fe897c72d96456; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F08,greenwood2025 hakulinen2019 hakulinen2020 hui2026 jackel2025 jirapramukpitak2022,bangkok_licm dk_registers_birth eye2_trial fi_registers hk_jcep_2009 vivantes_berlin_rct,6,claude-opus-5,config/prompts/extraction_v3.md,ec136411256b09bad6c9d7d9bf440a666266782934c483540a21fb563b77e32c,claude-opus-5,2026-08-12T17:20:47Z,2026-08-12T17:58:35Z,,greenwood2025:05b82e8e10484ab5 hakulinen2019:d3d3be48bd8cb4fa hakulinen2020:e9e72616bdfcb973 hui2026:659070ee1c4f8813 jackel2025:5863081cc3293071 jirapramukpitak2022:7a81e3cae619093b,43b7323b37534b7d1fdf5f53d6bbbf253af9bafdfc6c856a72b42cf872282d60,complete,"6 component(s); shard_sha256 restamped 2026-08-13 by claude-opus-5: old 7ce7f6fb6a461745901b896df86f6012ab3d8bc778108cd9134492393904551f, new 43b7323b37534b7d1fdf5f53d6bbbf253af9bafdfc6c856a72b42cf872282d60; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F09,khare2021 leighton2019 leighton2019b liangrong2021 lindgren2020 luo2019,changsha_act_rct crisp_glasgow helsinki_eps national_eden opus_1998 pune_private sunyatsen_guangzhou,6,claude-opus-5,config/prompts/extraction_v3.md,ec136411256b09bad6c9d7d9bf440a666266782934c483540a21fb563b77e32c,claude-opus-5,2026-08-12T17:20:47Z,2026-08-12T17:51:54Z,,khare2021:b6ed4266cdcc5d57 leighton2019:9b6797b09b62ae56 leighton2019b:3e3389212892bfb3 liangrong2021:94c06b5d032abfde lindgren2020:633baa3d12b6f497 luo2019:e44a2f6e6486e345,ab93002946c74b930cd1e9f9b0a988516f139caf11f42920e68dfc03df155e6b,complete,"6 component(s); shares a cohort with piloted hansen2024 hansen2024b, read those rows before selecting a result; leighton2019 validates a prediction model on OPUS. Its OPUS figures must NOT be pooled alongside hansen2024; relationship is validation_sample; shard_sha256 restamped 2026-08-13 by claude-opus-5: old 69ba849b86c331cacdcd744bb5ae14dd72a5aac8c47d2cfeac8ad723369712fe, new ab93002946c74b930cd1e9f9b0a988516f139caf11f42920e68dfc03df155e6b; reason: the documented three-value liangrong2021 since_baseline_mean recode, made after the batch was stamped complete (docs/methods_deviations.md:255, docs/extraction_qa_report.md:284); and line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
F10,maguire2021 majuri2023 martini2017 mcgurk2016 mervis2017 moncrieff2025,brooklyn_tsw_rct eppic_melbourne_2011 institute_living_rct nfbc1966 radar_trial saopaulo_prevoc,6,claude-opus-5,config/prompts/extraction_v3.md,ec136411256b09bad6c9d7d9bf440a666266782934c483540a21fb563b77e32c,claude-opus-5,2026-08-12T17:43:15Z,2026-08-12T18:09:07Z,,maguire2021:bf91093dc839bb69 majuri2023:ded9591b51a23e4b martini2017:522685e79ac63771 mcgurk2016:de9bbb3d84750bb2 mervis2017:4bb849f43a0b253a moncrieff2025:828c59b3b4cecb27,f54b39384db9b3e383f5659bc85f21b0e0c64ecd05d0f8f3c7db32f708c9452c,complete,"6 component(s); shares a cohort with piloted majuri2021 rautio2016, read those rows before selecting a result; shard_sha256 restamped 2026-08-13 by claude-opus-5: old 7512274f001cc475737f8acebba082f059dd56a5a38b0b0f9de5ada2ddcf26a8, new f54b39384db9b3e383f5659bc85f21b0e0c64ecd05d0f8f3c7db32f708c9452c; reason: line-ending conversion of the shard CSVs from CRLF to LF; parsed frames verified identical before and after"
