cohort_id,arm_id,arm_type,analysis_selection_status,analysis_selection_reason,intervention_name,intervention_description,cluster_randomised,n_clusters,icc_reported,baseline_unemployed_required,baseline_wants_work_required,all_original_arms_included,post_randomisation_selection,employment_targeted_intervention,common_construct_across_arms,selective_reweighting,n_entered
opus_1998,cohort,cohort,none,not_applicable,,Both OPUS randomised arms merged into a single cohort at long-term follow-up because the aims were unrelated to treatment assignment,no,,,no,no,yes,unclear,no,yes,no,578
nfbc1966,cohort,cohort,none,not_applicable,,Whole birth cohort psychosis cases identified from national registers; no allocation,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,
nfbc1966,dp_psychiatric,subgroup,none,not_applicable,,Cohort members with schizophrenia or other psychosis who had been on a disability pension for a psychiatric reason,no,,,yes,no,,,,,,
carstairs_1992,cohort,cohort,none,not_applicable,,Whole population detained in the high secure State Hospital between 25 Aug 1992 and 13 Aug 1993,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,241
carstairs_1992,sz,subgroup,none,not_applicable,,Subgroup with definite or probable schizophrenia by Feighner criteria,no,,,no,no,,,,,,169
isrep_rct,srt,intervention,none,not_applicable,Social Recovery Therapy plus treatment as usual,Cognitive behavioural social recovery therapy targeting activity and personal goals added to TAU,no,,,no,no,,,,,,35
isrep_rct,tau,control_tau,none,not_applicable,,Treatment as usual: case management from a secondary mental health care team; no psychological therapy,no,,,no,no,,,,,,42
isrep_rct,srt_nonaff,subgroup,none,not_applicable,Social Recovery Therapy plus treatment as usual,Non-affective psychosis subgroup of the SRT arm,no,,,no,no,,,,,,
isrep_rct,tau_nonaff,subgroup,none,not_applicable,,Non-affective psychosis subgroup of the TAU arm,no,,,no,no,,,,,,
isrep_rct,srt_aff,subgroup,none,not_applicable,Social Recovery Therapy plus treatment as usual,Affective psychosis subgroup of the SRT arm,no,,,no,no,,,,,,
isrep_rct,tau_aff,subgroup,none,not_applicable,,Affective psychosis subgroup of the TAU arm,no,,,no,no,,,,,,
ips_denmark_rct,ips,intervention,none,not_applicable,Individual Placement and Support,Rapid individualised search for competitive employment or education integrated with mental health services,no,,,yes,yes,,,,,,243
ips_denmark_rct,ipse,intervention,none,not_applicable,IPS with enhancements (IPSE),IPS plus computerised cognitive remediation and work-focused social skills training,no,,,yes,yes,,,,,,238
ips_denmark_rct,sau,control_active,none,not_applicable,Service as usual,Best available vocational rehabilitation provided by the Danish national job centres,no,,,yes,yes,,,,,,239
nz_idi,cohort,cohort,none,not_applicable,,Whole national FEP cohort; no intervention beyond routine services,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,2193
nz_idi,maori,subgroup,none,not_applicable,,Maori (Indigenous) members of the FEP cohort,no,,,no,no,,,,,,918
