cohort_id,cohort_name,design,country_iso3,region,country_income_level,income_year,diagnosis_group,diagnostic_instrument,diagnosis_confirmed,perc_qualifying_diagnosis,first_episode,subgroup_extractable,setting,recruitment_start,recruitment_end,overlap_notes,employment_selection_status,employment_selection_reason,employment_selection_verbatim,employment_selection_source
opus_1998,OPUS trial,rct,DNK,europe_north,high,2025,fep,ICD-10 F20 F22-F25 F28-F29; SCAN 2.1 interview,clinical interview by trained staff,100,yes,yes,community_smh,1998,2000,hansen2024 and hansen2024b are the same OPUS participants; hansen2024 uses the 496 FEP schizophrenia sample (F21 excluded) and hansen2024b the 578 spectrum sample (F21 included),none,not_applicable,"Participants were between 18 and 45 years old at the time of inclusion. They had been diagnosed with a first episode of schizophrenia spectrum disorders (F20, F22-25, F28-29) according to the International Classification of Diseases, 10th revision (ICD-10). Participants were excluded if they had received more than 3 months of treatment with antipsychotics before study inclusion. | Corroborated (hansen2024b, p. 2564): 'Participants were between 18 and 45 years of age and had not received more than 12 weeks of consecutive antipsychotic treatment.' Baseline employment was measured, not required: 'Working or studying 126 (30.3)' at baseline (Table 2, p. 4379), so 70% were not working or studying at entry and were retained.","hansen2024, Methods, Study population and design, p. 4375; corroborated hansen2024b, Method, Settings, p. 2564"
nfbc1966,Northern Finland Birth Cohort 1966,register_cohort,FIN,europe_north,high,2025,psychosis_mixed,register diagnosis ICD-8 ICD-9 ICD-10,register diagnosis only; no clinical re-interview,100,no,yes,registry,1966,1966,rautio2016 and majuri2021 are the same birth cohort but different case sets; majuri2021 analyses only the disability-pension subgroup,none,not_applicable,"This study is based on the NFBC 1966 study, which is a general population cohort study concerning 12,068 pregnant women and their 12,058 live-born children in 1966 in the provinces of Oulu and Lapland. This study includes individuals who were alive at the age of 16 years and living in Finland (n = 11,017) ... leading to a sample of 10,277. | Diagnosis of SSD was based on an individual's presence in the national register from 1982 to 2006 ... as well as follow-up of at least five years since the age of illness onset. | Corroborated (majuri2021, p. 1646): 'an unselected, general population sample based on 12,058 live-born children'.","rautio2016, Methods 2.1 Sample, p. 63; corroborated majuri2021, Methods, Sample, p. 1646"
carstairs_1992,State Hospital Survey (Carstairs) 1992-93 cohort,prospective_cohort,GBR,europe_west,high,2025,smi_mixed,St Louis (Feighner) criteria; case note review plus clinical interview,definite or probable schizophrenia by Feighner criteria for the 169 subgroup,70,no,yes,forensic,1992,1993,thomson2023 follows the whole 241-patient cohort; darjee2017 follows the 169 with schizophrenia from the same survey,none,not_applicable,"A cohort of 169 patients ... with schizophrenia resident in the high-security State Hospital in Scotland, UK between 25 August 1992 and 13 August 1993, were identified from the 241 patients detained there at that time ... All patients had committed acts of serious violence and were admitted from criminal courts, less secure hospitals or from prison. | Corroborated (thomson2023, p. 3): 'a whole population cohort of 241 patients ... detained within the high secure State Hospital, Carstairs, Scotland'. Baseline employment was recorded, not required: 'Employment status when last in community - Employed 50 (29.6); Unemployed 119 (70.4)' (darjee2017 Table 1, p. 531).","darjee2017, Methods, Sample, p. 526; corroborated thomson2023, Methods, Sample, p. 3"
isrep_rct,Improving Social Recovery in Early Psychosis (ISREP) trial,rct,GBR,europe_west,high,2025,psychosis_mixed,not stated in this report,not stated in this report,100,yes,yes,community_smh,,,2-year follow-up of the ISREP MRC trial platform study,selected,baseline_employment_status,"Eligibility required being currently unemployed or engaged in fewer than 16 hours per week of paid employment or education. PROVENANCE: this criterion is NOT stated in fowler2019, the report held in this repository, which gives no eligibility criteria and defers to Fowler et al. 2009b, Psychol Med 39:1627-1636. The criterion was supplied by the authorship group on 12 Aug 2026 from the ISREP primary analysis via Cambridge Core, corroborated by the original trial report's account of recruitment on a history of unemployment and poor social outcome. Fowler 2009b is paywalled and NOT held here, so the exact printed wording is pending documentary confirmation when that paper is obtained.","Authorship-group adjudication 12 Aug 2026, citing the ISREP primary analysis (Fowler et al. 2009b, Psychol Med 39:1627-1636). Not verifiable against any PDF currently held."
ips_denmark_rct,IPS trial NCT01722344 Copenhagen Odense and Silkeborg,rct,DNK,europe_north,high,2025,smi_mixed,ICD-10 F20-F29 F31 F33 confirmed with SCAN,diagnostic interview (SCAN) by trained certified researcher,76.5,mixed,no,mixed_unclear,2012,2016,DREAM register outcome data so may overlap with whole-population Danish register studies of 2012-2017,selected,work_intention_or_readiness,"Participants were eligible if they had a diagnosis of schizophrenia, schizotypal disorder, delusional disorder (ICD-10 F20-F29); bipolar disorder (F31); or recurrent depression (F33). All participants were adults (aged 18-64 years) living in 1 of 3 Danish cities ... All were assigned to early-intervention teams or community mental health services. ALL ELIGIBLE PARTICIPANTS EXPRESSED A CLEAR DESIRE IN COMPETITIVE EMPLOYMENT OR EDUCATION and spoke and understood Danish sufficiently well to participate without an interpreter. | NOT baseline unemployment: work history was a STRATIFICATION variable and Table 1 (p. 1236) shows roughly half of each arm had 2+ months of paid work in the previous 5 years. Additionally 100% of each arm sat in Danish labour-market match group 2 or 3, a work-capability classification (Table 1 footnote f).","christensen2019, Methods, Eligibility Criteria, p. 1233"
nz_idi,"unnamed: New Zealand national FEP cohort (Statistics NZ Integrated Data Infrastructure), 2009-2012",register_cohort,NZL,oceania,high,2025,fep,ICD-10 and DSM-IV codes recorded in specialist mental health service data (Supplementary Table 2),register/clinical service diagnosis; multiple diagnoses over 5 years prioritised to one per person,100,yes,yes,registry,2009,2012,Same IDI FEP cohort as Petrovic-van der Deen et al. 2020 Schizophr Res 223:311-8; Manuel et al. 2022 ANZJP; Carr et al. Early Interv Psychiatry. All counts randomly rounded to base 3 by Stats NZ,none,not_applicable,We previously identified a retrospective cohort of 2412 13- to 25-year-old individuals diagnosed with FEP between 2009 and 2012. To develop this cohort we used health record data (specifically specialist mental health service use and diagnosis data) held in the Statistics New Zealand Integrated Data Infrastructure (IDI) to identify individuals with a first recorded diagnosis of psychosis between the ages of 13 and 25 during the study period. | Exclusions: We excluded cohort members who had spent more than a quarter of the follow-up period (the 5 years post diagnosis) abroad or who had died during this period.,"Method, Study population, pp. 1-2"
dk_registers_1998,"unnamed: Danish national registers incident schizophrenia spectrum cohort, 1998-2023",register_cohort,DNK,europe_north,high,2025,psychosis_mixed,ICD-10 F20-F29 first-time diagnosis in the Danish National Patient Register,register diagnosis; no clinical re-verification,100,yes,yes,registry,1998,2023,Danish national registers; overlaps Sturup et al. 2023 and other DREAM/NPR studies and will include OPUS trial participants. Counts rounded under Statistics Denmark disclosure rules,none,not_applicable,"The source population included all individuals residing in Denmark who received a first-time diagnosis of a nonaffective psychotic disorder (ICD-10 codes F20-F29). The date of the first registered F20-F29 diagnosis was defined as the cohort entry date. To ensure complete temporal alignment between medication exposure and employment data, we restricted the cohort to individuals with index diagnosis dates between January 1, 1998, and December 31, 2023 ... Individuals were excluded if they died or emigrated within 2 years of cohort entry.","Methods, Study population, p. 2"
bologna_fep,Bologna West First Episode Psychosis project (Bo-FEP),prospective_cohort,ITA,europe_south,high,2025,fep,Item Group Checklist of SCAN version 2.1 completed from case notes; psychosis per APA 2004 criteria,case-note IGC ratings discussed with the treating psychiatrists,100,yes,yes,community_smh,2002,2009,Same incidence cohort as Tarricone et al. 2012 Psychol Med (8-year Bo-FEP incidence study). Recruitment was catchment-based at Bologna West CMHCs which run a first-episode programme; setting coded community_smh rather than eip,none,not_applicable,"This study is part of the Bologna West First Episode Psychosis project (Bo-FEP), an incidence FEP study of all patients between 18 and 64 years, who had a contact with Bologna West Community Mental Health Centers (CMHCs) from January 2002 to December 2009. | We carried out a 12 months follow-up of all first episode psychosis patients identified in the study period.","Methods, Setting and service description, p. 522; Study design, p. 523"
croatia_rlai,"unnamed: 16 centres, Croatia, 2007-2009 (risperidone long-acting injection observational study)",prospective_cohort,HRV,europe_south,high,2025,psychosis_mixed,DSM-IV and ICD-10 criteria for schizophrenia schizoaffective disorder or other psychotic disorder,clinician diagnosis at 16 participating centres,100,no,yes,mixed_unclear,2007,2009,"Janssen-funded single-arm naturalistic RLAI study. Croatia coded europe_south per UN M49; europe_east is equally defensible. perc_qualifying_diagnosis 100 per the Table 1 footnote, but the Table 4/5 footnote lists F31 and F32 under Other, which would put it below 100 | RECRUITMENT is unselected; the employment-related restriction attaches to the pension_excluded ANALYSIS UNIT, not to the recruited cohort. Corrected 12 Aug 2026 on authorship-group adjudication.",none,not_applicable,"Both, inpatients and outpatients were considered, as long as a change in treatment was indicated. Patients were included irrespective of the reason for the treatment change (e.g. lack of response, side effects, etc.). Eligible patients were aged 18 years or older, met criteria of DSM-IV and ICD-10 for schizophrenia, schizoaffective disorder or other psychotic disorder, and signed an informed consent document for participation in the study. Patients were enrolled from 16 centres in Croatia, from June, 2007 until February, 2009. Excluded were patients who had a known hypersensitivity to risperidone.","Subjects and Methods, Subjects, p. 264"
kaisyuan_taiwan,"unnamed: community rehabilitation centre attached to Kai-Syuan Psychiatric Hospital, southern Taiwan, 2021",prospective_cohort,TWN,asia_east,high,2025,schizophrenia,not stated; pre-existing clinical diagnosis of schizophrenia,not stated,100,no,no,community_smh,2021,2021,"Whole sample was already in one of three vocational training placements at baseline by design, so the employment distribution is a property of the selected sample and not of a clinical population",selected,vocational_service_entry,"The criteria for acceptance were PwS who (i) had been diagnosed, (ii) were first undergoing vocational training less than 3 months, (iii) could communicate in Chinese or Taiwanese Hokkien, and (iv) were conscious and able to express their personal opinions. | The participants were from a community rehabilitation center attached to a psychiatric hospital in southern Taiwan that provides vocational training. | For the study's baseline, 14, 31, and 20 participants were in supported employment, sheltered employment, and unpaid job training, respectively.","Methods, Study Design and Participants, pp. 167-168; Results, Participants, pp. 170-171"
