result_id,report_id,cohort_id,arm_id,analysis_sample_id,followup_months,followup_basis,measurement_age_years,mean_years_since_onset,outcome_construct,outcome_verbatim,result_role,ascertainment,ascertainment_window_months,n_employed,n_outcome_observed,n_assessed,n_alive_eligible,n_entered,reported_percentage_base,denominator_basis,missing_data_method,source_locator,derivation_component_result_ids,derivation_justification,derivation_mutually_exclusive,derivation_exhaustive,derivation_zero_separable,checked_by,conflict_status,conflict_note,adjusted_measure,adjusted_effect,adjusted_se,mean_age,perc_female,n_female,n_female_denominator,perc_post_secondary,n_post_secondary,n_post_secondary_denominator,perc_employed_baseline,n_employed_baseline,n_employed_baseline_denominator,notes
hansen2024_cohort_t240m_paidcomp,hansen2024,opus_1998,cohort,register_416,240,since_baseline,,,paid_competitive,Full-time employment without supported employment benefits 50% of the past year,reported,period_prevalence,12,54,416,,,496,,outcome_observed,register_complete,"Table 2, p. 4379",,,,,,,unresolved,"UNRESOLVED: Table 2, p. 4379 subgroups do not sum to the printed totals. 'Any work' 84 + 15 = 99 against the printed 105; 'Work' 49 + 3 = 52 against 54. Every cell matches its own percentage, so the total and its parts cannot both be right, and the printed total is the paid_any numerator for opus_1998. hansen2024b's equivalent rows do sum correctly and may be the safer source. Blocked from every synthesis pending author reply. // AUTHOR CONTACTED, NO CURRENT RESPONSE.",,,,27,44.5,,,,,,,,,"INCONSISTENT: subgroup counts 49+3=52 not the 54 reported in the All column | PUBLISHED INCONSISTENCY: Table 2 'Work' subgroups 49 + 3 = 52 against the printed total 54 (p. 4379).// Author contacted, no response."
hansen2024_cohort_t240m_paidany,hansen2024,opus_1998,cohort,register_416,240,since_baseline,,,paid_any,Full- or part-time employment with or without supported employment benefits 50% of the past year,reported,period_prevalence,12,105,416,,,496,,outcome_observed,register_complete,"Table 2, p. 4379",,,,,,,unresolved,"UNRESOLVED: Table 2, p. 4379 subgroups do not sum to the printed totals. 'Any work' 84 + 15 = 99 against the printed 105; 'Work' 49 + 3 = 52 against 54. Every cell matches its own percentage, so the total and its parts cannot both be right, and the printed total is the paid_any numerator for opus_1998. hansen2024b's equivalent rows do sum correctly and may be the safer source. Blocked from every synthesis pending author reply. // AUTHOR CONTACTED, NO CURRENT RESPONSE.",,,,27,44.5,,,,,,,,,"INCONSISTENT: subgroup counts 84+15=99 not the 105 reported in the All column; within-column percentages all check out | n_outcome_observed = 416 CONFIRMED (Stage B recheck): 'Register data on redeemed antipsychotics were available for all trial participants (n = 416)' (Abstract, p. 4374); Table 2 title p. 4379; Discussion p. 4382; Limitations p. 4383. Table 2 columns 296 + 120 = 416. 143 is the clinical-interview sample (Tables 1 and 3) and must not be substituted. PUBLISHED INCONSISTENCY: Table 2 'Any work' subgroups 84 + 15 = 99 against the printed total 105 (and 'Work' 49 + 3 = 52 against 54); every cell matches its own percentage, so total and parts cannot both be right. This is the paid_any numerator for opus_1998. UNEXPLAINED: the step from 496 entered to 416 with register data is never described. // Author contacted, no response."
hansen2024_cohort_t240m_paidcomp_assessed,hansen2024,opus_1998,cohort,reassessed_143,240,since_baseline,,,paid_competitive,Full-time employment without supported employment benefits 50% of the past year,reported,period_prevalence,12,27,143,143,,496,,outcome_observed,register_complete,"Table 3, p. 4380",,,,,,,none,,,,,46.15,52.4,,,,,,,,,NESTED within the Table 2 row; do not pool both. 71% attrition and demonstrably differential
hansen2024_cohort_t240m_paidany_assessed,hansen2024,opus_1998,cohort,reassessed_143,240,since_baseline,,,paid_any,Full- or part-time employment with or without supported employment benefits 50% of the past year,reported,period_prevalence,12,48,143,143,,496,,outcome_observed,register_complete,"Table 3, p. 4380",,,,,,,none,,,,,46.15,52.4,,,,,,,,,NESTED within the Table 2 row; do not pool both
hansen2024_cohort_t240m_paidoredu,hansen2024,opus_1998,cohort,reassessed_143,240,since_baseline,,,paid_or_education,Working or studying at the 20-year follow-up,reported,point_prevalence,,40,143,143,,496,,outcome_observed,complete_case,"Table 1, p. 4377",,,,,,,none,,,,,46.15,52.4,,,,,,,,,"Composite, not paid employment. Interview-based"
hansen2024b_cohort_t240m_paidcomp,hansen2024b,opus_1998,cohort,reassessed_174,240,since_baseline,,,paid_competitive,Full-time employment without supported employment benefits 50% of the past year,reported,period_prevalence,12,40,174,174,,578,,outcome_observed,register_complete,"Table 1, p. 2566",,,,,,,none,,,,,45.90,50.0,,,,,,,,,Parent/non-parent split consistent 25+15=40
hansen2024b_cohort_t240m_paidany,hansen2024b,opus_1998,cohort,reassessed_174,240,since_baseline,,,paid_any,Full- or part-time employment with or without supported employment benefits 50% of the past year,reported,period_prevalence,12,64,174,174,,578,,outcome_observed,register_complete,"Table 1, p. 2566",,,,,,,none,,,,,45.90,50.0,,,,,,,,,Split consistent 35+29=64. Includes 30 (17.2%) with F21 which hansen2024 excludes
hansen2024b_cohort_t240m_paidoredu,hansen2024b,opus_1998,cohort,reassessed_174,240,since_baseline,,,paid_or_education,Working or studying at the 20-year follow-up,reported,point_prevalence,,52,174,174,,578,,outcome_observed,complete_case,"Table 1, p. 2566",,,,,,,none,,,,,45.90,50.0,,,,,,,,,"Composite, not paid employment. Split consistent 31+21=52"
rautio2016_cohort_age44_45_paidintensity25,rautio2016,nfbc1966,cohort,,,chronological_age,44.5,17.5,paid_intensity_threshold,"Employed if they had been working for at least 25% of the working days over the last two years of follow-up (1 Jan 2010 to 31 Dec 2011, at age 44-45). Table 1 bands: <25.0% (143), 25.0-49.9% (5), 50.0%-74.9% (5), >=75.0% (8).",derived,period_prevalence,24,18,161,,,161,,outcome_observed,register_complete,"Table 1, p. 63 and Table 2, p. 64",rautio2016_cohort_age44_45_band_25_49;rautio2016_cohort_age44_45_band_50_74;rautio2016_cohort_age44_45_band_75plus,"Sum of the three printed working-day bands above the paper's 25% threshold (5 + 5 + 8 = 18), one shared denominator of 161, mutually exclusive. The paper prints '11.2%' but never prints the count 18, so this is a sum of printed counts and not a back-calculation from a percentage.",yes,yes,no,,none,,,,,44.5,,71,161,,,,,,,"CONSTRUCT CORRECTED 12 Aug 2026: this is paid_intensity_threshold, NOT paid_any. The lowest band is '<25.0%', NOT '0%', so it pools people with no working days at all together with people who worked 1-24.9% of working days. The number in ANY paid work is therefore NOT IDENTIFIED by this source: bounds are 18 <= paid_any <= 161. Do not interpolate. FOLLOW-UP BASIS: the measurement point is chronological age 44-45; the 210 months is the MEAN time since onset, which ranged from 5 to over 20 years (25 had 5-9y, 77 had 10-19y, 59 had 20y+). It is therefore not a landmark and is not assigned to a horizon. | CONSTRUCT CORRECTED 11 Aug 2026: this is NOT paid_any. The paper's measure is 'employed if they had been working for at least 25% of the working days' (Methods 2.2.1, p. 63). The lowest band is '<25.0%', NOT '0%', so it pools people with no working days at all together with people who worked 1-24.9% of working days. The number in ANY paid work is therefore NOT RECOVERABLE from this paper: bounds are 18 <= paid_any <= 161. Do not interpolate. Ascertainment is period prevalence over a 24-month window (1 Jan 2010 to 31 Dec 2011, at age 44-45), not point prevalence. followup_months is not a fixed post-onset horizon: follow-up since onset averaged 17.5 years and varied."
majuri2021_dp_t242m_unclear,majuri2021,nfbc1966,dp_psychiatric,,242,since_baseline,,,unclear,Disability pension coded as ended with the person alive and no new pension granted,reported,any_time_during_followup,,15,170,,,223,,outcome_observed,register_complete,"Table 3, p. 1650",,,,,,,none,,,,,,41.8,,,18.8,,,,,,"SCHIZOPHRENIA group. Construct unclear: administrative pension discontinuation does not verify paid work. Denominator selected for non-employment. INCONSISTENT: text says 229 detected, Table 2 says 223. // ""AUTHOR CLARIFIED: Text reports total detected (n=229 schizophrenia, n=205 other psychosis), which includes somatic disability pensions. Table 2 (n=223 schizophrenia, n=200 other psychosis) deliberately excludes somatic cases per Methods: 'We only present the proportions of disability pensions due to somatic reasons, but we exclude those from further analyses.' Numerator 170/91 is psychiatric disability pension discontinuation only."""
