result_id,field,extracted_value,source_table,source_locator,extractor,extraction_date,batch_id,verification_tier,source_version,verifier,verified_date,verified_value,agreement,adjudication,notes
hansen2024_cohort_t240m_paidcomp,outcome_construct,paid_competitive,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,ascertainment_window_months,12,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,n_employed,54,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,n_outcome_observed,416,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,conflict_status,unresolved,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,outcome_construct,paid_any,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,ascertainment_window_months,12,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,n_employed,105,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,n_outcome_observed,416,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,conflict_status,unresolved,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,outcome_construct,paid_competitive,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,ascertainment_window_months,12,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,n_employed,27,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,n_outcome_observed,143,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidcomp_assessed,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,outcome_construct,paid_any,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,ascertainment_window_months,12,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,n_employed,48,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,n_outcome_observed,143,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidany_assessed,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,outcome_construct,paid_or_education,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,ascertainment,point_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,ascertainment_window_months,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,n_employed,40,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,n_outcome_observed,143,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024_cohort_t240m_paidoredu,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,outcome_construct,paid_competitive,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,ascertainment_window_months,12,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,n_employed,40,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,n_outcome_observed,174,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidcomp,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,outcome_construct,paid_any,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,ascertainment_window_months,12,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,n_employed,64,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,n_outcome_observed,174,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidany,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,outcome_construct,paid_or_education,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,ascertainment,point_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,ascertainment_window_months,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,n_employed,52,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,n_outcome_observed,174,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,followup_months,240,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,diagnosis_group,fep,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,design,rct,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
hansen2024b_cohort_t240m_paidoredu,employment_targeted_intervention,no,extraction_arms,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,outcome_construct,paid_intensity_threshold,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,ascertainment,period_prevalence,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,ascertainment_window_months,24,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,n_employed,18,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,n_outcome_observed,161,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,followup_months,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,followup_basis,chronological_age,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,result_role,derived,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,arm_id,cohort,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,derivation_component_result_ids,rautio2016_cohort_age44_45_band_25_49;rautio2016_cohort_age44_45_band_50_74;rautio2016_cohort_age44_45_band_75plus,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,diagnosis_group,psychosis_mixed,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,perc_qualifying_diagnosis,100,extraction_cohorts,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,design,register_cohort,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,arm_type,cohort,extraction_arms,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,analysis_selection_status,none,extraction_arms,,,,,2,stage-g-merge,,,,,,
rautio2016_cohort_age44_45_paidintensity25,employment_targeted_intervention,not_applicable,extraction_arms,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,outcome_construct,unclear,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,ascertainment,any_time_during_followup,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,ascertainment_window_months,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,n_employed,15,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,n_outcome_observed,170,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,denominator_basis,outcome_observed,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,followup_months,242,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,followup_basis,since_baseline,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,result_role,reported,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,conflict_status,none,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,arm_id,dp_psychiatric,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,derivation_component_result_ids,,extraction_outcomes,,,,,2,stage-g-merge,,,,,,
majuri2021_dp_t242m_unclear,employment_selection_status,none,extraction_cohorts,,,,,1,stage-g-merge,,,,,,
