rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
chang2016_fes_t36m_paidoredu_jbi1_sample_frame,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi1_sample_frame,Was the sample frame appropriate to address the target population?,yes,"Territory-wide sampling frame: EASY is 'a territory-wide, publicly-funded early intervention program for individuals aged 15-25 years presenting with FEP in Hong Kong' and the report draws on the whole consecutive enrolment of July 2001 to August 2003. Appropriate for a first-episode psychosis target population, with two limits on applicability rather than validity: entry is capped at age 25, and only patients reaching the public service are captured.","chang2016, Methods 2.1 Participants, p. 2",claude-opus-5,,
chang2016_fes_t36m_paidoredu_jbi2_participant_sampling,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi2_participant_sampling,Were study participants sampled in an appropriate way?,yes,"Census rather than a sample: all patients enrolled in the service over a defined 26-month window were included, with pre-stated exclusions (mental retardation, psychosis due to a general medical condition, substance-induced psychosis, prior treatment longer than 1 month). No self-selection or convenience sampling.","chang2016, Methods 2.1 Participants, p. 2",claude-opus-5,,
chang2016_fes_t36m_paidoredu_jbi3_sample_size,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi3_sample_size,Was the sample size adequate?,yes,374 patients in the analysed schizophrenia subgroup gives a proportion estimated with adequate precision (roughly plus or minus 5 percentage points at 30%).,"chang2016, Results, p. 2 and Table 1, p. 3",claude-opus-5,,
chang2016_fes_t36m_paidoredu_jbi4_subjects_setting_described,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi4_subjects_setting_described,Were the study subjects and the setting described in detail?,yes,"The service, its case-management model, the eligibility and exclusion criteria, the data-collection protocol and the outcome definitions are described in the main text. Full baseline characteristics are in supplementary Table S1, which is cited but is not present in the PDF held; the main text still gives age, hospitalisation rate, DUP, symptom severity and baseline SOFAS for both subgroups.","chang2016, Methods 2.1-2.2, p. 2; Results 3.1, p. 3; suppl. Table S1 cited on p. 3 and not available",claude-opus-5,,
chang2016_fes_t36m_paidoredu_jbi5_coverage_of_sample,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi5_coverage_of_sample,Was the data analysis conducted with sufficient coverage of the identified sample?,no,"Coverage of the identified sample is incomplete and the shortfall is partly undocumented. Only 420 of the 515 eligible patients (81.6%) completed 3-year follow-up, and completers differed from non-completers on two prognostically relevant variables (shorter DUP, lower baseline SOFAS; both p < 0.05), with no imputation or weighting. In addition the employment denominator itself does not match the analysed subgroup: the printed 30.0% for the schizophrenia subgroup is arithmetically impossible on n = 374 and implies a base of 370, so about four patients are silently absent from the employment analysis.","chang2016, Results 3 attrition analysis, p. 2; Table 1, p. 3",claude-opus-5,,"unclear: differential attrition on baseline functioning, and an undocumented shortfall in the employment denominator, could move the proportion in either direction"
chang2016_fes_t36m_paidoredu_jbi6_condition_identification,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi6_condition_identification,Were valid methods used for the identification of the condition?,yes,"Psychosis was identified by ICD-10 criteria, with the final research diagnosis ascertained at 3 years from the longitudinal course using outpatient and inpatient records and the computerised clinical database, under a written protocol with weekly consensus meetings and inter-rater ICCs of 0.70 to 1.00 for DUP and the major outcome measures. Diagnosis is clinical rather than by structured research interview, which is a limitation, but the criteria and the ascertainment process are stated.","chang2016, Methods 2.2 Measures, p. 2",claude-opus-5,,
chang2016_fes_t36m_paidoredu_jbi7_condition_measurement,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi7_condition_measurement,"Was the condition measured in a standard, reliable way for all participants?",unclear,"Employment was determined for every month of the 3 years from records using standardised data-entry forms, which is standard across participants; but WHAT was counted cannot be established, because the source defines the same variable in two incompatible ways (Methods 2.2 includes full-time study, Table 1 footnote b and Table 2 footnote e count work only). Ascertainment is also entirely from clinical records, with no direct enquiry of the participant and no validated vocational measure, and the report itself concedes that 'only data that could be reliably extracted from records were targeted for retrieval and analysis'.","chang2016, Methods 2.2 Measures, p. 2; Table 1 footnote b and Table 2 footnote e, p. 3",claude-opus-5,,"towards overestimate if full-time students are inside the numerator, since the construct would then be paid work or education rather than paid work"
chang2016_fes_t36m_paidoredu_jbi8_statistical_analysis,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi8_statistical_analysis,Was there appropriate statistical analysis?,unclear,"The comparative tests (chi-square, t-tests, logistic and linear regression with baseline covariates) are appropriate for the question asked, but the prevalence itself is reported without a confidence interval and without a stated denominator, and at least one printed test statistic cannot be reproduced from the printed counts on any denominator (functional remission, chi-square 6.1, needs a base near 365 while its own percentage of 20.3% needs 374). The analysis as printed cannot be checked.","chang2016, Table 1, p. 3",claude-opus-5,,
chang2016_fes_t36m_paidoredu_jbi9_response_rate,chang2016_fes_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi9_response_rate,"Was the response rate adequate, and if not, was the low response rate managed appropriately?",yes,"420 of 515 (81.6%) completed 3-year follow-up, which is adequate, and the report does not simply assert it: it runs and reports an attrition analysis. The differences it found (completers had shorter DUP and lower baseline SOFAS) were then left unadjusted, and baseline SOFAS is one of only two independent predictors of sustained employment in this same report, so the response rate is adequate but its consequences are not managed.","chang2016, Results 3, p. 2; Table 2, p. 3",claude-opus-5,,
chang2016_femp_t36m_paidoredu_jbi1_sample_frame,chang2016_femp_t36m_paidoredu,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data, 9 items (Munn et al.)",jbi1_sample_frame,Was the sample frame appropriate to address the target population?,yes,"Territory-wide sampling frame: EASY is 'a territory-wide, publicly-funded early intervention program for individuals aged 15-25 years presenting with FEP in Hong Kong' and the report draws on the whole consecutive enrolment of July 2001 to August 2003. Appropriate for a first-episode psychosis target population, with two limits on applicability rather than validity: entry is capped at age 25, and only patients reaching the public service are captured. The frame is the same for this subgroup; the subgroup itself is defined by a 3-year research diagnosis, not by the sampling frame.","chang2016, Methods 2.1 Participants, p. 2",claude-opus-5,,
