report_id,first_author,year,title,journal,doi,source_filename,file_sha256,source_available,eligibility_status,report_quantifiable,exclusion_reason,study_id,cohort_id,cohort_overlap_notes,metadata_source,screening_list,screening_row,notes,data_request_status,data_request_date,data_response_date
khare2022b,Khare,2022,A 1-Year Prospective Study of Employment in People With Severe Mental Illnesses Receiving Public Sector Psychiatric Services in India,Psychiatric Rehabilitation Journal,10.1037/prj0000512,2022-23727-001.pdf,cda7644ce896ea2f5bad86a5f59edb85bb2c4d5313d2a74fd4b79444ed89e66d,yes,include,,not_applicable,pune_public,pune_public,shares cohort with: khare2022,crossref,yes,20,"report_id corrected from unknown2022 on 12 August 2026. F04 read the PDF: 2022-23727-001.pdf is the complete article (Psychiatric Rehabilitation Journal 2022;45(3):237-246), not the supplement the manifest took it for. The staged DOI was the supplemental-materials record's; the article DOI printed on p. 237 is 10.1037/prj0000512, which is exactly what screening row 20 holds, so this correction removes a DOI divergence rather than creating one. khare2022 was already taken by the Schizophrenia Research: Cognition companion on the same cohort, hence the letter suffix. 53/107 at 12m VERIFIED from the printed cells; article DOI 10.1037/prj0000512 confirmed from the PDF",drafted,,
andersen2024,Andersen,2024,Vocational functioning in young people accessing services for first-episode psychosis and ultra-high risk of psychosis: A longitudinal naturalistic cohort study,Australian &amp; New Zealand Journal of Psychiatry,10.1177/00048674241261778,andersen-et-al-2024-vocational-functioning-in-young-people-accessing-services-for-first-episode-psychosis-and-ultra.pdf,c750d27ccbb790ebeec77c7be650e414d74c57a29b57e4032867b5d107604308,yes,include,yes,not_applicable,headspace_hep_au,headspace_hep_fep_au,"Describes two parallel cohorts, headspace_hep_fep_au (n=1574) and headspace_hep_uhr_au (n=1515), from the headspace Early Psychosis programme between 19 June 2017 and 22 March 2021. brown2022 is off the screening list under D10.1; no figure was imported from it.; Two parallel cohorts. The scalar cohort_id carries the primary-contributing cohort only; report_cohort_map.csv is the authority and carries both.",crossref,yes,42,FEP arm 205/578 at 12m; employed = working 143 + studying-and-working 62,drafted,,
andersen2026,Andersen,2026,Factors associated with employment and hospitalizations in early-onset psychosis: a clinical study with register-based follow-up,Schizophrenia Research,10.1016/j.schres.2026.03.017,1-s2.0-S0920996426000940-main.pdf,f10d4370f47ebe6141b2ae782891756d3fff555627b2922480a12e2973aef716,yes,include,yes,not_applicable,dk_eop_pooled,dk_eop_pooled,,crossref,yes,61,composite competitive employment OR education; period prevalence,drafted,,
ayesaarriola2020,Ayesa-Arriola,2020,Understanding sex differences in long-term outcomes after a first episode of psychosis,npj Schizophrenia,10.1038/s41537-020-00120-5,s41537-020-00120-5.pdf,20cb1ead808db9eaa6082142539a669185bfa590b4be887dfddb5246c2eab41f,yes,include,no,not_applicable,pafip_spain,pafip_spain,shares cohort with: mayoralvanson2019,crossref,yes,21,"unemployed counts only, denominators not stated; PAFIP also in mayoralvanson2019",drafted,,
baltazar2022,Baltazar,2022,Long term course and outcome of first episode schizophrenia: a 27-to-31-year follow-up,Social Psychiatry and Psychiatric Epidemiology,10.1007/s00127-021-02185-8,s00127-021-02185-8.pdf,eac96b2c79e6ac73754d009832bc4311dcb0fbc0efdeb89553feab5ce628c602,yes,include,yes,not_applicable,iusmm_montreal,iusmm_montreal,,crossref,yes,50,"6/43 at 27-31y (all three claims confirmed); ADD: follow-up runs from individual admissions in 1983-1987 to one common end date (2014), so followup_basis = calendar_end_common under D12.8 and the result is barred from every landmark horizon, including the 10-year-plus band it would otherwise fall in",drafted,,
basaraba2023,Basaraba,2023,Prediction Tool for Individual Outcome Trajectories Across the Next Year in First-Episode Psychosis in Coordinated Specialty Care,JAMA Psychiatry,10.1001/jamapsychiatry.2022.3571,jamapsychiatry_basaraba_2022_oi_220073_1671567531.00611.pdf,6767ef73981fde2faafbdfc7dea65bdbeb6dd9ce6637b2b7353745306324f68a,yes,include,yes,not_applicable,ontracky_ny,ontracky_ny,shares cohort with: nossel2018,crossref,yes,82,"composite education/employment/vocational-training, training set only (1038 of 1298); SAME COHORT as nossel2018, not merely the same network: this report's frame (20 sites, Oct 2013 to Dec 2018) contains nossel2018's 325 clients (10 sites, Oct 2013 to Aug 2016)",drafted,,
bell2018,Bell,2018,Comparison of focused cognitive training and portable “brain-games” on functional outcomes for vocational rehabilitation participants,Scientific Reports,10.1038/s41598-018-20094-w,s41598-018-20094-w.pdf,d140594b9541a7e84c865fd4764ac0521e1e3fb8664e5cc9b97ec48d477bda70,yes,include,yes,not_applicable,va_ct_vr,va_ct_vr,,crossref,yes,22,"trial; employment_selection_status = selected with FOUR concurrent D9 triggers, not one: vocational-service entry (all 77 were entrants to transitional work or supported employment), work intention or readiness ('willingness to engage in vocational rehabilitation services', 'an interest in work rehabilitation'), baseline employment status ('All participants were unemployed') and current placement (32 were already in paid placements or casual work at baseline). Results are competitive employment only (9/38 VR+CG, 9/36 VR+CR at 12 months); no paid_any count is recoverable. The VR+CG denominator is contradicted between text and tables, so that row is conflict_status = unresolved",drafted,,
bhullar2018,Bhullar,2018,Untreated illness and recovery in clients of an early psychosis intervention program: a 10-year prospective cohort study,Social Psychiatry and Psychiatric Epidemiology,10.1007/s00127-017-1464-z,s00127-017-1464-z.pdf,b3b850d7a2baf4de87114f284395c0db1932ab215cf92fa05fcef11a827c9c60,yes,include,yes,not_applicable,pepp_ontario_1997,pepp_ontario_1997,,crossref,yes,6,"35/65 at 10y (Table 2, employment status at 10-year follow-up; construct paid_any, point prevalence); distinct era from mackinley2022 confirmed (admitted March 1997 to February 2002); ADD second result: 32/65 engaged in work and/or school for ALL 52 weeks of the past year (paid_or_education, period prevalence, threshold-defined), from which any-activity prevalence is NOT identified (bounded 32 to 65)",drafted,,
bjornsdottir2022,Bjornsdottir,2022,Functional recovery after first episode psychosis (Icelandic),Laeknabladid,10.17992/lbl.2022.06.694,Functional_recovery_after_first_episode_psychosis_.pdf,,no,not_in_screening_set,,not_applicable,laugarasinn_iceland,laugarasinn_iceland,,"first page, hand verified",no,,"54/144 at discharge (mean 3.2y, variable); AUTHORS ARE GUDBRANDSDOTTIR AND INGIMARSSON, metadata wrong | PDF REMOVED 11 August 2026: off the DATA_EXTRACTION_FINAL.xlsx screening list. Row retained for the PRISMA audit trail. Reassess when the D8 search update runs. | DISPOSITION 11 August 2026: was `include`. Not on the DATA_EXTRACTION_FINAL.xlsx screening list of 90, so this is not an eligibility decision and the row is not counted in the PRISMA eligibility flow. Reinstating it requires a documented screening-list amendment, not a status change.",,,
blackman2025,Blackman,2025,Cognitive predictors and genetic moderators of employment outcomes in people with schizophrenia,Schizophrenia Research: Cognition,10.1016/j.scog.2025.100356,1-s2.0-S2215001325000137-main.pdf,9967212938659f5abebba4ddf028502c696bf5a82135ad165a8d58b7f550ab5d,yes,include,yes,not_applicable,nimh_ctnb,nimh_ctnb,,crossref,yes,19,"56/124 at follow-up (count IS stated, Table 1: 'Employed - Follow-up Visit n = 56 (45.2 %)'); variable recontact interval mean 8.6y (range 2-19y) coded calendar_end_common under D12.8; construct is paid_any ('Paid work of any kind and amount'); period prevalence over the last year; analysed denominator excludes 4 who reported being retired, so analysis_selection_status = selected",drafted,,
bonnesen2026,Bonnesen,2026,The influence of clinical and sociodemographic variables on employment and education for Danish youth with a psychotic disorder: a population-based national registry study,Social Psychiatry and Psychiatric Epidemiology,10.1007/s00127-026-03085-5,s00127-026-03085-5.pdf,32852d9535c41f1a882d70f01a5ce6d45aab54d250fe70827db4890b2a308505,yes,include,yes,not_applicable,cross_tracks_dk,cross_tracks_dk,,crossref,yes,52,"539/2493 at 5y AND 505/2577 at 3y, both printed; composite employment OR education confirmed (paid_or_education, training not named); ADD: the cohort is employment-SELECTED under D9 because individuals receiving a disability pension at baseline were excluded from the study population (35 of 2,633, Fig. 1), so employment_selection_status = selected with reason baseline_employment_status",drafted,,
brown2022,Brown,2022,The clinical and functional outcomes of a large naturalistic cohort of young people accessing national early psychosis services,Australian &amp; New Zealand Journal of Psychiatry,10.1177/00048674211061285,brown-et-al-2021-the-clinical-and-functional-outcomes-of-a-large-naturalistic-cohort-of-young-people-accessing-national (1).pdf,,no,not_in_screening_set,,not_applicable,headspace_hep_au,headspace_hep_au,shares cohort with: andersen2024,crossref,no,,"no employment measure at all; SOFAS and My Life Tracker only | PDF REMOVED 11 August 2026: off the DATA_EXTRACTION_FINAL.xlsx screening list. Row retained for the PRISMA audit trail. Reassess when the D8 search update runs. | DISPOSITION 11 August 2026: was `exclude`. Not on the DATA_EXTRACTION_FINAL.xlsx screening list of 90, so this is not an eligibility decision and the row is not counted in the PRISMA eligibility flow. Reinstating it requires a documented screening-list amendment, not a status change.",,,
chan2019,Chan,2019,Ten-year follow up of patients with first-episode schizophrenia spectrum disorder from an early intervention service: Predictors of clinical remission and functional recovery,Schizophrenia Research,10.1016/j.schres.2018.08.022,1-s2.0-S0920996418305140-main (1).pdf,fbe4e08bafebda633b540ed5da60b0bd1e9d395978b9f24a4adb0b3f049d3b42,yes,include,no,not_applicable,hk_easy_2001,hk_easy_2001,"shares cohort with: chan2022, chang2016, chang2016b",crossref,yes,37,"employment only as mean months, used as a predictor",drafted,,
