table,key,field,old,new,authority,reason,source,date,actor
extraction_outcomes,twumasi2026_cohort_t120m_paidoredu,conflict_status,none,unresolved,D12.3d (ratified rule),"The source contradicts itself about the result's denominator (three incompatible candidates, recorded in the row's notes since extraction). D12.3d requires unresolved, which blocks the result from every synthesis until REQ-twumasi2026-1 resolves it with authority. Pool membership unchanged: the row already fails the construct and ascertainment gates. Moved on 23 September 2026 from stage_g_reconciliation.csv, which carries manifest change rows only and could not reapply it.",docs/evidence_reconciliation.md; docs/extraction_qa_report.md,2026-08-18,claude-fable-5
extraction_outcomes,twumasi2026_cohort_t120m_paidoredu,conflict_note,,"Three mutually incompatible denominators for the 10-year productive engagement count: 38160/65630 = 58.1 per cent, not the stated 69.1 per cent, which implies an unprinted base near 55200; the printed counts (38160 + 11730 + 550) sum to 50440, the switcher subcohort, whose base gives 75.7 per cent; and the 550 competing events contradict Table 1's 9690 deaths and 1540 emigrations. Blocked under D12.3d until the internal query REQ-twumasi2026-1 resolves the denominator with authority.",D12.3d (ratified rule),conflict_note is required by the validator whenever conflict_status is unresolved; it carries the substance of the denominator conflict previously held only in the notes field.,docs/evidence_reconciliation.md,2026-08-18,claude-fable-5
extraction_outcomes,hansen2024_cohort_t240m_paidcomp,conflict_note,"UNRESOLVED: Table 2, p. 4379 subgroups do not sum to the printed totals. 'Any work' 84 + 15 = 99 against the printed 105; 'Work' 49 + 3 = 52 against 54. Every cell matches its own percentage, so the total and its parts cannot both be right, and the printed total is the paid_any numerator for opus_1998. hansen2024b's equivalent rows do sum correctly and may be the safer source. Blocked from every synthesis pending author reply.","UNRESOLVED: Table 2, p. 4379 subgroups do not sum to the printed totals. 'Any work' 84 + 15 = 99 against the printed 105; 'Work' 49 + 3 = 52 against 54. Every cell matches its own percentage, so the total and its parts cannot both be right, and the printed total is the paid_any numerator for opus_1998. hansen2024b's equivalent rows do sum correctly and may be the safer source. Blocked from every synthesis pending author reply. // AUTHOR CONTACTED, NO CURRENT RESPONSE.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,hansen2024_cohort_t240m_paidcomp,notes,INCONSISTENT: subgroup counts 49+3=52 not the 54 reported in the All column | PUBLISHED INCONSISTENCY: Table 2 'Work' subgroups 49 + 3 = 52 against the printed total 54 (p. 4379).,"INCONSISTENT: subgroup counts 49+3=52 not the 54 reported in the All column | PUBLISHED INCONSISTENCY: Table 2 'Work' subgroups 49 + 3 = 52 against the printed total 54 (p. 4379).// Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,hansen2024_cohort_t240m_paidany,conflict_note,"UNRESOLVED: Table 2, p. 4379 subgroups do not sum to the printed totals. 'Any work' 84 + 15 = 99 against the printed 105; 'Work' 49 + 3 = 52 against 54. Every cell matches its own percentage, so the total and its parts cannot both be right, and the printed total is the paid_any numerator for opus_1998. hansen2024b's equivalent rows do sum correctly and may be the safer source. Blocked from every synthesis pending author reply.","UNRESOLVED: Table 2, p. 4379 subgroups do not sum to the printed totals. 'Any work' 84 + 15 = 99 against the printed 105; 'Work' 49 + 3 = 52 against 54. Every cell matches its own percentage, so the total and its parts cannot both be right, and the printed total is the paid_any numerator for opus_1998. hansen2024b's equivalent rows do sum correctly and may be the safer source. Blocked from every synthesis pending author reply. // AUTHOR CONTACTED, NO CURRENT RESPONSE.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,hansen2024_cohort_t240m_paidany,notes,"INCONSISTENT: subgroup counts 84+15=99 not the 105 reported in the All column; within-column percentages all check out | n_outcome_observed = 416 CONFIRMED (Stage B recheck): 'Register data on redeemed antipsychotics were available for all trial participants (n = 416)' (Abstract, p. 4374); Table 2 title p. 4379; Discussion p. 4382; Limitations p. 4383. Table 2 columns 296 + 120 = 416. 143 is the clinical-interview sample (Tables 1 and 3) and must not be substituted. PUBLISHED INCONSISTENCY: Table 2 'Any work' subgroups 84 + 15 = 99 against the printed total 105 (and 'Work' 49 + 3 = 52 against 54); every cell matches its own percentage, so total and parts cannot both be right. This is the paid_any numerator for opus_1998. UNEXPLAINED: the step from 496 entered to 416 with register data is never described.","INCONSISTENT: subgroup counts 84+15=99 not the 105 reported in the All column; within-column percentages all check out | n_outcome_observed = 416 CONFIRMED (Stage B recheck): 'Register data on redeemed antipsychotics were available for all trial participants (n = 416)' (Abstract, p. 4374); Table 2 title p. 4379; Discussion p. 4382; Limitations p. 4383. Table 2 columns 296 + 120 = 416. 143 is the clinical-interview sample (Tables 1 and 3) and must not be substituted. PUBLISHED INCONSISTENCY: Table 2 'Any work' subgroups 84 + 15 = 99 against the printed total 105 (and 'Work' 49 + 3 = 52 against 54); every cell matches its own percentage, so total and parts cannot both be right. This is the paid_any numerator for opus_1998. UNEXPLAINED: the step from 496 entered to 416 with register data is never described. // Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,majuri2021_dp_t242m_unclear,notes,"SCHIZOPHRENIA group. Construct unclear: administrative pension discontinuation does not verify paid work. Denominator selected for non-employment. INCONSISTENT: text says 229 detected, Table 2 says 223","SCHIZOPHRENIA group. Construct unclear: administrative pension discontinuation does not verify paid work. Denominator selected for non-employment. INCONSISTENT: text says 229 detected, Table 2 says 223. // ""AUTHOR CLARIFIED: Text reports total detected (n=229 schizophrenia, n=205 other psychosis), which includes somatic disability pensions. Table 2 (n=223 schizophrenia, n=200 other psychosis) deliberately excludes somatic cases per Methods: 'We only present the proportions of disability pensions due to somatic reasons, but we exclude those from further analyses.' Numerator 170/91 is psychiatric disability pension discontinuation only.""","Author reply, recorded in the final extraction sheet (23 September 2026)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,majuri2021_dp_t157m_unclear,notes,"OTHER PSYCHOSIS group. INCONSISTENT: text says 205 detected, Table 2 says 200","OTHER PSYCHOSIS group. INCONSISTENT: text says 205 detected, Table 2 says 200. // ""AUTHOR CLARIFIED: Text reports total detected (n=229 schizophrenia, n=205 other psychosis), which includes somatic disability pensions. Table 2 (n=223 schizophrenia, n=200 other psychosis) deliberately excludes somatic cases per Methods: 'We only present the proportions of disability pensions due to somatic reasons, but we exclude those from further analyses.' Numerator 170/91 is psychiatric disability pension discontinuation only.""","Author reply, recorded in the final extraction sheet (23 September 2026)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_paidany,n_outcome_observed,,56,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 = 56 consented + 16 deceased with accessible notes (2014 only). The sheet entered n_outcome_observed 0, an entry error. Point prevalence of current paid work is defined among the living, so the denominator is the 56 living observed and n_assessed carries the author's 72; 0 employed of 72 implies 0 of 56. missing_data_method: the sheet's 'stated' is not a vocabulary value; the count is complete-case among those observed.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_paidany,n_assessed,66,72,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 = 56 consented + 16 deceased with accessible notes (2014 only). The sheet entered n_outcome_observed 0, an entry error. Point prevalence of current paid work is defined among the living, so the denominator is the 56 living observed and n_assessed carries the author's 72; 0 employed of 72 implies 0 of 56. missing_data_method: the sheet's 'stated' is not a vocabulary value; the count is complete-case among those observed.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
