result_id,report_id,cohort_id,arm_id,analysis_sample_id,followup_months,followup_basis,measurement_age_years,mean_years_since_onset,outcome_construct,outcome_verbatim,result_role,ascertainment,ascertainment_window_months,n_employed,n_outcome_observed,n_assessed,n_alive_eligible,n_entered,reported_percentage_base,denominator_basis,missing_data_method,source_locator,derivation_component_result_ids,derivation_justification,derivation_mutually_exclusive,derivation_exhaustive,derivation_zero_separable,checked_by,conflict_status,conflict_note,adjusted_measure,adjusted_effect,adjusted_se,mean_age,perc_female,n_female,n_female_denominator,perc_post_secondary,n_post_secondary,n_post_secondary_denominator,perc_employed_baseline,n_employed_baseline,n_employed_baseline_denominator,notes
mucci2021_cohort_t48m_working,mucci2021,nirp_italy,cohort,followup_618,48,since_baseline,,,unclear,"""Within-participant comparisons of baseline vs follow-up P values showed that patients had ... a modest increase in working status (170 [28.9%] vs 208 [35.4%]; P < .001) ... (eTable 2 in Supplement 1)"". The report never defines what 'working status' counted: no definition, instrument or window is given anywhere in the article, and eTable 2 is not held.",reported,point_prevalence,,208,,618,,921,,,not_stated,"Results, Study Population, p. 553 (reporting eTable 2 in Supplement 1, not held)",,,,,,,unresolved,"UNRESOLVED. The report states twice that 618 participated (""Of 921 individuals recruited at baseline, 618 participated in the present study""; ""Of 618 participants, 427 (69.1%) were male"") and then reports 208 (35.4%) in working status at follow-up. 208/618 = 33.7%, not 35.4%, so the count and the percentage cannot both be right against the only denominator the report states. CANDIDATE RESOLUTION, recorded as a candidate and NOT applied (prompt rule 14, D12.3d): the McNemar within-participant comparison uses only pairs with both baseline and follow-up status, and 170/588 = 28.91% and 208/588 = 35.37% both round to the printed values, so the base is probably 588. That is a reconstruction by this extractor, not an authority, so the status stays `unresolved` and the numerator is not paired with a denominator. Other variables in the same sentence imply yet other bases (76 and 62 supported housing and 52 and 8 legal problems imply 612; 432 and 441 second-generation antipsychotic imply 618), which is consistent with item-level missingness but is never stated. An author reply giving the denominator for working status would resolve this.",,,,45.1,,191,618,,,,,170,,"DENOMINATOR UNRECOVERABLE: n_outcome_observed is left blank because recovering it needs back-calculation from a printed percentage, which the codebook forbids. reported_percentage_base is also left blank because the base is not printed, only implied. n_assessed = 618 (participated in the follow-up study); n_entered = 921 (recruited at baseline). n_female = 191 is 618 - 427 male, both printed integers, so no percentage was back-calculated. n_employed_baseline = 170 is the baseline arm of the same within-participant comparison and carries the same unstated denominator. ascertainment coded point_prevalence because the reassessment was a single visit at which all baseline measures were repeated, but the report never states an ascertainment window; see unresolved_queries.md."
nakamura2025_cohort_t12m_paidany,nakamura2025,kariya_daycare,cohort,completers_21,12,since_baseline,,,paid_any,"""Of these, four participants (19.0%) obtained formal employment based on labor contracts: two through part-time employment and two through disability employment programs."" Defined at Methods, Study design: ""For clarity, in this study, 'employment' was defined as engagement in work under a formal labor contract, including part-time or disability employment that meets legal wage and insurance requirements."" Counted only if sustained ""for at least 3 months during the 12-month follow-up"".",reported,any_time_during_followup,12,4,21,21,,23,,outcome_observed,complete_case,"Results, Employment outcomes, p. 6 of 13; construct defined Methods, Study design, p. 2 of 13",,,,,,,none,,,,,40.7,,7,21,,,,,,,"THE ONLY PAID-WORK COUNT IN THIS REPORT. 4/21 = 19.0% as printed. Formal employment here requires a labour contract meeting legal wage and insurance requirements, so it is paid work under SAP 3.1; both part-time and Japanese disability employment are wage employment. NOT eligible for the primary pool: ascertainment is attainment at any time during the 12-month follow-up sustained for at least 3 months, not point prevalence, and the cohort is employment-selected. Follow-up clock: the 12 months run from the END of the 3-month CRT (""The 12-month follow-up period started after the intervention, excluding the 3-month CRT implementation period""), i.e. about 15 months after study entry; both 12 and 15 fall in the 9-18 month band so the choice does not move the horizon."
nakamura2025_cohort_t12m_vocact_composite,nakamura2025,kariya_daycare,cohort,completers_21,12,since_baseline,,,vocational_activity,"""Among the 21 participants who underwent CRT, nine individuals (42.8%) transitioned from psychiatric daycare to either formal employment or vocational activity within 1 year after the intervention."" Defined at Methods: ""Employment transition was defined as engaging in structured vocational activity for at least 3 months, including welfare-based employment (e.g., non-Type A support programs), supported employment, part-time employment, or regular employment ... Participants who engaged in either formal employment or vocational activity for at least 3 months during the 12-month follow-up were classified as having achieved vocational transition.""",reported,any_time_during_followup,12,9,21,21,,23,,outcome_observed,complete_case,"Results, Employment outcomes, p. 6 of 13; Table 4 footnote, p. 10 of 13",,,,,,,none,,,,,40.7,,7,21,,,,,,,"NOT paid_any. The composite deliberately includes Type B continuous employment support, which the report states is ""not legally classified as employment under national labor law"" and describes as ""structured pre-vocational engagement""; the report never states how Type B work is remunerated, and SAP 3.1 excludes welfare-benefit remuneration and any activity for which an employment relationship cannot be established. 9 = 4 formal employment + 5 vocational activity."
nakamura2025_cohort_t12m_vocact_typeb,nakamura2025,kariya_daycare,cohort,completers_21,12,since_baseline,,,vocational_activity,"""The remaining five participants (23.8%) engaged in vocational activity, specifically welfare-based work settings such as Type B continuous employment support services, which are not legally classified as employment but are recognized as structured prevocational engagement under Japan's disability support system.""",reported,any_time_during_followup,12,5,21,21,,23,,outcome_observed,complete_case,"Results, Employment outcomes, p. 6 of 13",,,,,,,none,,,,,40.7,,7,21,,,,,,,"NESTED within nakamura2025_cohort_t12m_vocact_composite (9 = 4 + 5); do not pool both, and never pool either with a paid-employment row. Remuneration of Type B work is never described in the report, which is why this is vocational_activity rather than paid_sheltered_noncompetitive: the paid/unpaid question the primary construct turns on cannot be answered from the source. An author query is logged."
pedersen2025_morpheus_t24m_paid_any_point,pedersen2025,opus_2014,morpheus,morpheus_116,24,since_baseline,,,paid_any,"Table 2 row ""Employment"". Defined at Methods 2.6.2: ""Employment status was obtained from the Danish Register for Evaluation of Marginalisation (DREAM) ... Weeks with labour market contribution were defined as periods of employment, with the specific number of hours worked each month extracted."" Row: ""2 years after baseline"".",reported,point_prevalence,,10,116,,,116,,outcome_observed,register_complete,"Table 2, p. 7 of 11 (Employment, education and non-competitive employment during follow-up)",,,,,,,none,,odds_ratio,1.14,,23.34,,46,116,,,,,18,116,"Adjusted OR (95% CI) for Morpheus vs standard vocational rehabilitation at this row: 1.14 (0.37; 3.45); crude OR 1.13 (0.45; 2.83); adjusted for gender, age, education and employment status at baseline (Table 2, p. 7 of 11). Status at the timepoint: employment and education are recorded weekly in DREAM and the periods are converted to weeks 0-104 and 105-208, so ""2 years after baseline"" is status in the week at 2 years. Employment-selected cohort and an allocated-arm row, so this cannot enter the primary prevalence pool under D9 and SAP 2.1 whatever its ascertainment. Baseline is the date of inclusion in the OPUS programme (Methods 2.6.2); the abstract's ""2 and 4 years after diagnosis"" is a looser restatement of the same clock."
pedersen2025_standard_t24m_paid_any_point,pedersen2025,opus_2014,standard,standard_130,24,since_baseline,,,paid_any,"Table 2 row ""Employment"". Defined at Methods 2.6.2: ""Employment status was obtained from the Danish Register for Evaluation of Marginalisation (DREAM) ... Weeks with labour market contribution were defined as periods of employment, with the specific number of hours worked each month extracted."" Row: ""2 years after baseline"".",reported,point_prevalence,,10,130,,,130,,outcome_observed,register_complete,"Table 2, p. 7 of 11 (Employment, education and non-competitive employment during follow-up)",,,,,,,none,,,,,23.17,,53,130,,,,,7,130,"Adjusted OR (95% CI) for Morpheus vs standard vocational rehabilitation at this row: 1.14 (0.37; 3.45); crude OR 1.13 (0.45; 2.83); adjusted for gender, age, education and employment status at baseline (Table 2, p. 7 of 11). Status at the timepoint: employment and education are recorded weekly in DREAM and the periods are converted to weeks 0-104 and 105-208, so ""2 years after baseline"" is status in the week at 2 years. Employment-selected cohort and an allocated-arm row, so this cannot enter the primary prevalence pool under D9 and SAP 2.1 whatever its ascertainment. Baseline is the date of inclusion in the OPUS programme (Methods 2.6.2); the abstract's ""2 and 4 years after diagnosis"" is a looser restatement of the same clock."
pedersen2025_morpheus_t48m_paid_any_point,pedersen2025,opus_2014,morpheus,morpheus_116,48,since_baseline,,,paid_any,"Table 2 row ""Employment"". Defined at Methods 2.6.2: ""Employment status was obtained from the Danish Register for Evaluation of Marginalisation (DREAM) ... Weeks with labour market contribution were defined as periods of employment, with the specific number of hours worked each month extracted."" Row: ""4 years after baseline"".",reported,point_prevalence,,22,116,,,116,,outcome_observed,register_complete,"Table 2, p. 7 of 11 (Employment, education and non-competitive employment during follow-up)",,,,,,,none,,odds_ratio,1.51,,23.34,,46,116,,,,,18,116,"Adjusted OR (95% CI) for Morpheus vs standard vocational rehabilitation at this row: 1.51 (0.70; 3.27); crude OR 1.79 (0.88; 3.65); adjusted for gender, age, education and employment status at baseline (Table 2, p. 7 of 11). Status at the timepoint: employment and education are recorded weekly in DREAM and the periods are converted to weeks 0-104 and 105-208, so ""2 years after baseline"" is status in the week at 2 years. Employment-selected cohort and an allocated-arm row, so this cannot enter the primary prevalence pool under D9 and SAP 2.1 whatever its ascertainment. Baseline is the date of inclusion in the OPUS programme (Methods 2.6.2); the abstract's ""2 and 4 years after diagnosis"" is a looser restatement of the same clock."
pedersen2025_standard_t48m_paid_any_point,pedersen2025,opus_2014,standard,standard_130,48,since_baseline,,,paid_any,"Table 2 row ""Employment"". Defined at Methods 2.6.2: ""Employment status was obtained from the Danish Register for Evaluation of Marginalisation (DREAM) ... Weeks with labour market contribution were defined as periods of employment, with the specific number of hours worked each month extracted."" Row: ""4 years after baseline"".",reported,point_prevalence,,15,130,,,130,,outcome_observed,register_complete,"Table 2, p. 7 of 11 (Employment, education and non-competitive employment during follow-up)",,,,,,,none,,,,,23.17,,53,130,,,,,7,130,"Adjusted OR (95% CI) for Morpheus vs standard vocational rehabilitation at this row: 1.51 (0.70; 3.27); crude OR 1.79 (0.88; 3.65); adjusted for gender, age, education and employment status at baseline (Table 2, p. 7 of 11). Status at the timepoint: employment and education are recorded weekly in DREAM and the periods are converted to weeks 0-104 and 105-208, so ""2 years after baseline"" is status in the week at 2 years. Employment-selected cohort and an allocated-arm row, so this cannot enter the primary prevalence pool under D9 and SAP 2.1 whatever its ascertainment. Baseline is the date of inclusion in the OPUS programme (Methods 2.6.2); the abstract's ""2 and 4 years after diagnosis"" is a looser restatement of the same clock."
pedersen2025_morpheus_t24m_paid_any_any,pedersen2025,opus_2014,morpheus,morpheus_116,24,since_baseline,,,paid_any,"Table 2 row ""Employment"". Defined at Methods 2.6.2: ""Employment status was obtained from the Danish Register for Evaluation of Marginalisation (DREAM) ... Weeks with labour market contribution were defined as periods of employment, with the specific number of hours worked each month extracted."" Row: ""0-2 years after baseline"".",reported,any_time_during_followup,24,33,116,,,116,,outcome_observed,register_complete,"Table 2, p. 7 of 11 (Employment, education and non-competitive employment during follow-up)",,,,,,,none,,odds_ratio,1.37,,23.34,,46,116,,,,,18,116,"Adjusted OR (95% CI) for Morpheus vs standard vocational rehabilitation at this row: 1.37 (0.68; 2.78); crude OR 1.76 (0.96; 3.20); adjusted for gender, age, education and employment status at baseline (Table 2, p. 7 of 11). Cumulative attainment: the report's own wording is ""employment any time during the periods 0-2 and 2-4 years of follow-up"" (Methods 2.7.1). Not point prevalence. Employment-selected cohort and an allocated-arm row, so this cannot enter the primary prevalence pool under D9 and SAP 2.1 whatever its ascertainment. Baseline is the date of inclusion in the OPUS programme (Methods 2.6.2); the abstract's ""2 and 4 years after diagnosis"" is a looser restatement of the same clock."
pedersen2025_standard_t24m_paid_any_any,pedersen2025,opus_2014,standard,standard_130,24,since_baseline,,,paid_any,"Table 2 row ""Employment"". Defined at Methods 2.6.2: ""Employment status was obtained from the Danish Register for Evaluation of Marginalisation (DREAM) ... Weeks with labour market contribution were defined as periods of employment, with the specific number of hours worked each month extracted."" Row: ""0-2 years after baseline"".",reported,any_time_during_followup,24,24,130,,,130,,outcome_observed,register_complete,"Table 2, p. 7 of 11 (Employment, education and non-competitive employment during follow-up)",,,,,,,none,,,,,23.17,,53,130,,,,,7,130,"Adjusted OR (95% CI) for Morpheus vs standard vocational rehabilitation at this row: 1.37 (0.68; 2.78); crude OR 1.76 (0.96; 3.20); adjusted for gender, age, education and employment status at baseline (Table 2, p. 7 of 11). Cumulative attainment: the report's own wording is ""employment any time during the periods 0-2 and 2-4 years of follow-up"" (Methods 2.7.1). Not point prevalence. Employment-selected cohort and an allocated-arm row, so this cannot enter the primary prevalence pool under D9 and SAP 2.1 whatever its ascertainment. Baseline is the date of inclusion in the OPUS programme (Methods 2.6.2); the abstract's ""2 and 4 years after diagnosis"" is a looser restatement of the same clock."
