cohort_id,arm_id,arm_type,analysis_selection_status,analysis_selection_reason,intervention_name,intervention_description,cluster_randomised,n_clusters,icc_reported,baseline_unemployed_required,baseline_wants_work_required,all_original_arms_included,post_randomisation_selection,employment_targeted_intervention,common_construct_across_arms,selective_reweighting,n_entered
tenerife_cr_rct,cr_ips,intervention,selected,prior_employment_failure,Cognitive remediation (Cogpack) plus Individual Placement and Support,"32 individualised one-hour computerised cognitive remediation sessions with Cogpack over 4 months, one to two per week, added to IPS supported employment delivered by a five-technician IPS team",no,,,no,yes,,,,,,28
tenerife_cr_rct,ips_only,control_active,selected,prior_employment_failure,Individual Placement and Support alone,"IPS supported employment alone: rapid individualised competitive job search by employment specialists integrated with community mental health teams, continuous job support, no cognitive remediation",no,,,no,yes,,,,,,29
nagano_iot_rct,got_iot,intervention,none,not_applicable,Group occupational therapy plus individualized occupational therapy (GOT + IOT),"Approximately three months of inpatient occupational therapy from hospitalisation to discharge, with more than half the OT time given to one-to-one goal-oriented IOT combining motivational interviewing, self-monitoring, individualised visits, craft activities with individualised coaching, individualised psychoeducation and discharge planning",no,,,no,no,,,,,,68
nagano_iot_rct,got_alone,control_active,none,not_applicable,Group occupational therapy alone (GOT),"Standard activity-oriented group occupational therapy already implemented at each site: physical fitness, craft activities, cooking, music, recreation and psychoeducation, with therapist assistance only on request",no,,,no,no,,,,,,68
se_registers,cohort,cohort,selected,analytic_restriction,,,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,21551
parnassia_hague,dutch,subgroup,none,not_applicable,,,no,,,no,no,,,,,,46
parnassia_hague,gen2,subgroup,none,not_applicable,,,no,,,no,no,,,,,,56
parnassia_hague,gen1,subgroup,none,not_applicable,,,no,,,no,no,,,,,,60
parachute_sweden,cohort,cohort,none,not_applicable,,"Whole recruited cohort of the Parachute early-intervention programme: five years of continuously available psychosocial and family support from small multidisciplinary FEP teams, with deliberately cautious low-dose short-course antipsychotic use. Not randomised and not employment-targeted, so the SAP 2.1 allocation safeguards do not arise.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,175
stockholm_2000,inst_recovery,subgroup,unclear,incomplete_reporting,,,no,,,unclear,unclear,,,,,,53
stockholm_2000,ongoing_inst,subgroup,unclear,incomplete_reporting,,,no,,,unclear,unclear,,,,,,159
