report_id,parent_doi,filename,file_sha256,source_url,access_date,status,notes
dayabandara2026,10.1016/j.ajp.2026.104842,Dayabandara 2026 1-s2.0-S1876201826000158-mmc1.docx,2feb4307d8ac26ef5e985036d63b133eef93e1638797a414eb415e6d6a4731f8,https://ars.els-cdn.com/content/image/1-s2.0-S1876201826000158-mmc1.docx,12/08/2026,retrieved,Supplementary File-1 cited at Methods 2.6 p.2. Identity confirmed: first line of the docx repeats the parent article title verbatim. Content is a statistical-analysis appendix (CLMM and linear mixed-model specification plus references); it is not a variable-definition appendix.
dayabandara2026,10.1016/j.ajp.2026.104842,Dayabandara 2026 1-s2.0-S1876201826000158-mmc2.zip,fa24bf06d088587c38c2d0c12360cc7b5b0a46dfe269225ab56c0cc5e11d171a,https://ars.els-cdn.com/content/image/1-s2.0-S1876201826000158-mmc2.zip,12/08/2026,retrieved,"Second supplement on the same Elsevier PII, found by CDN probe; zip contains one file, Supplementary File2.All Pairwise Comparisons_V2.numbers (Apple Numbers format). Retrieved for completeness; not opened."
fowler2009,10.1017/S0033291709005467,,,https://www.cambridge.org/core/journals/psychological-medicine/article/abs/cognitive-behaviour-therapy-for-improving-social-recovery-in-psychosis-a-report-from-the-isrep-mrc-trial-platform-study-improving-social-recovery-in-early-psychosis/4C67A0B01304373347DD863BD7BDA52F,12/08/2026,paywalled,"ISREP parent trial paper (Psychol Med 39:1627-1636), sought as a REFERENCE DOCUMENT ONLY; not added to the evidence set. Cambridge Core subscription-only. Unpaywall, OpenAlex and Semantic Scholar all flag green OA at Sussex figshare item 23398958, but the figshare files endpoint returns an empty array: that record is a metadata-only stub, so the OA flag is a false positive. UEA eprints 14137 is request-a-copy; UEA eprints 42826 has been removed; Dundee Discovery Portal record is metadata only. No PMC or Europe PMC copy (PMID 19335932, no PMCID). Needs a human with institutional access."
falk2016,10.1007/s00127-015-1141-z,,,https://static-content.springer.com/esm/art%3A10.1007%2Fs00127-015-1141-z/MediaObjects/127_2015_1141_MOESM1_ESM.pdf,12/08/2026,no_supplement_exists,"Held full text (9 pp) contains no supplement, ESM or appendix callout anywhere. Springer ESM CDN probed for MOESM1 and MOESM2 across 11 extensions: all absent. Positive control on a known-existing ESM (hakulinen2019, 127_2019_1756_MOESM1_ESM.docx) returned HTTP 200, so the probe discriminates. No PMC or Europe PMC record. link.springer.com landing page is bot-blocked to non-browser clients."
solmi2022,10.1176/appi.ajp.21121189,Solmi 2022 supplemeent_appi.ajp.21121189.ds001.pdf,73657cb42e0aee5711ef17d63fcbc7fc9d3126c3404136a4ec707e25313c328e,https://psychiatryonline.org/doi/suppl/10.1176/appi.ajp.21121189,2026-08-12,retrieved,"Supplement certainly exists: the held full text repeatedly cites ""the online supplement"" including Figures S4 and S5-S9. psychiatryonline.org returns a Cloudflare 403 interstitial to every non-browser client, for the article page and the /doi/suppl/ path alike; this is a bot check, not a paywall, and I did not attempt to defeat it. No PMC or Europe PMC copy. The one repository copy (Julkari, THL Finland, handle 10024/147526) carries a licence.txt bitstream and no full text. HIGH PRIORITY for a human to download in a browser. | Obtained by a human in a browser 12 Aug 2026; psychiatryonline returns Cloudflare 403 to non-browser clients. Filename retains the publisher typo ""supplemeent""."
topor2019,10.1007/s00127-019-01655-4,,,https://static-content.springer.com/esm/art%3A10.1007%2Fs00127-019-01655-4/MediaObjects/127_2019_1655_MOESM1_ESM.pdf,12/08/2026,no_supplement_exists,"Held full text (8 pp) contains no supplement, ESM or appendix callout. Springer ESM CDN probed for MOESM1 and MOESM2 across 11 extensions: all absent (same positive control as falk2016). Article is hybrid OA so the article PDF itself is free at link.springer.com, but there is no supplementary file to retrieve. No PMC or Europe PMC record."
lin2022,10.1186/s12888-022-04022-x,,,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9264584/supplementaryFiles,12/08/2026,no_supplement_exists,"Gold OA (CC BY) in PMC as PMC9264584. Europe PMC full-text XML contains no supplementary-material element and no Additional file callout; the supplementaryFiles bundle holds only Figure 1 and Figure 2 image files. Held full text mentions no supplement. BMC deposits Additional files to PMC, so their absence is good evidence none exist."
blackman2025,10.1016/j.scog.2025.100356,,,https://ars.els-cdn.com/content/image/1-s2.0-S2215001325000137-mmc1.pdf,12/08/2026,no_supplement_exists,"Gold OA (CC BY-NC-ND) in PMC as PMC11951260. Europe PMC full-text XML contains no supplementary-material element; the supplementaryFiles bundle holds only figure images. Elsevier CDN probed for mmc1 and mmc2 across 5 extensions: all 404, against a positive control on the same host (dayabandara2026 mmc1 returned 200). Held full text mentions no supplement."
peebo2022,10.1080/08039488.2021.1946139,,,https://www.tandfonline.com/doi/suppl/10.1080/08039488.2021.1946139,12/08/2026,not_found,"Held full text (9 pp) never references a supplement or appendix. Taylor and Francis /doi/suppl/ page returns a Cloudflare 403 to non-browser clients, so existence could not be confirmed on the publisher side. No PMC or Europe PMC copy, no OA location in Unpaywall. Existence unverified rather than positively excluded."
rodriguezpulido2021,10.1080/09602011.2019.1692671,,,https://www.tandfonline.com/doi/suppl/10.1080/09602011.2019.1692671,12/08/2026,not_found,"Held full text (24 pp, accepted-manuscript layout) never references a supplement or appendix. Taylor and Francis /doi/suppl/ page returns a Cloudflare 403 to non-browser clients. No PMC or Europe PMC copy, no OA location in Unpaywall. Existence unverified rather than positively excluded."
fulford2018,10.1093/schbul/sbx096,Fulford 2018 sbx096_suppl_supplementary_tables.doc,a40bd2c330d8f4d9cfe71e10f5b009edf68473cb5ecae4a6d02223896e678dec,https://pmc.ncbi.nlm.nih.gov/articles/instance/5814802/bin/sbx096_suppl_supplementary_tables.doc,2026-08-12,retrieved,"Supplement exists and is free to read: PMC5814802 links sbx096_suppl_supplementary_tables.doc, and the held full text cites supplementary tables 1, 4 and 5. PMC binary downloads are gated behind a JavaScript proof-of-work challenge (cloudpmc-viewer-pow cookie) that curl cannot satisfy; I did not attempt to defeat it. Article is bronze OA at OUP but academic.oup.com returns 403 to non-browser clients. Not in the PMC OA subset (oa.fcgi: not open access), no NIHMS author-manuscript version, Europe PMC will not serve its supplementary files. HIGH PRIORITY, one click for a human in a browser. | Obtained by a human in a browser 12 Aug 2026; PMC binaries sit behind a JavaScript challenge no script can satisfy."
