"analysis_id","source_commit","worktree","config_sha256","vocab_sha256","r_version","brms_version","cmdstan_version","os","arch","generated","file","sha256","bytes"
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","diagnostics/fit_diagnostics.csv","02618145f162e3982c0e151a2a7a172ccaf8dd17f385911b6fb7aef12dccbb24",411
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","diagnostics/ppc_overall.csv","8b44658407b5e53e43b8534e76a6bba96854e51387ec6ded2183a303b726ad44",161
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","diagnostics/ppc_per_result.csv","21dcbc4d4e2b026d479dfac8d19b464dea56fb7b609822de8af56b17ecbb65be",661
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/frequentist_comparison.csv","8a2dc1ead6fa1aba845e9262803786a6d96c61a2d22bbf4fc44b189d300e9dfd",703
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/frequentist_differences.csv","517e9cefc78bea9df99fc230235bd1fac306bd96f89f3adc26adf7e67ed15bdc",381
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/moderator_slopes.csv","484d5b215987a141685fb1a1373cf36eae50508c8339b495772fbca67abf5275",1696
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/pool_construction.csv","598834ed4667992bdfc80df510584a17a9edcd6ff6863e9e2b9ad77913f91dd3",891
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/pooled_proportion.csv","d345caa81bd540dafbd08d23f9ca35f7f240d5374620b6c98c10ff36f47fcf14",1336
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/prior_predictive_implied.csv","b6a33ec8379bbdfa2a334923e97499b98193fff68c7589c8752648efd9b23e4f",192
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/prior_predictive.csv","b9964168eb05edd4f2baef5d8367eb47b918fb88a29c226f86bf008419e00bed",758
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/reports_set_aside.csv","86357abe0a8095d504c04a2a61022f44173dcf7cbaf1b1e31c05656661a816d5",638
"ebc5fe8b5ab5","249b2f6797e7f80312d8abf06ab3f6cfca2f98ff","dirty","8727c5e180f1cdc05fce39dfab3e44ded66fab4e16d1451dce4ff689d9ce7548","34ad421e68399b26b288d2aa68197631aed5e0fd5db9a2804690b2c1c4008920","R version 4.4.2 (2024-10-31)","2.23.0","2.36.0","Darwin","aarch64","2026-08-05T23:01:55+0100","tables/study_table.csv","44f44900115a97cd27e30dd4bad2ebca01d05e1ac54e24d8b96567992781921b",611
