"moderator","tier","status","n_cohorts","reason","estimate","q_lo","q_hi","sample_status"
"horizon","confirmatory","not reported",2,"2 cohorts, below the minimum of 10",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"diagnosis_group","confirmatory","not reported",2,"levels below the minimum of 10 per level: psychosis_mixed, schizophrenia",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"country_income_level","confirmatory","not reported",2,"levels below the minimum of 10 per level: high",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"outcome_construct","confirmatory","not reported",2,"levels below the minimum of 10 per level: paid_any, paid_competitive",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"mean_age","exploratory","not reported",1,"1 cohorts, below the minimum of 10",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"perc_female","exploratory","not reported",2,"2 cohorts, below the minimum of 10",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"perc_post_secondary","exploratory","not reported",1,"1 cohorts, below the minimum of 10",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"perc_employed_baseline","exploratory","not reported",2,"2 cohorts, below the minimum of 10",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"region","exploratory","not reported",2,"levels below the minimum of 10 per level: asia_east, europe_south",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"setting","exploratory","not reported",2,"levels below the minimum of 10 per level: community_smh, mixed_unclear",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"rob_overall","exploratory","not reported",NA,"moderator column absent from the extraction",NA,NA,NA,"PURPOSIVE PILOT - NOT FOR INFERENCE"
