"clause","removed","remaining","sample_status"
"all extracted results",0,66,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"report eligible",0,66,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"observational design",27,39,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"cohort arm, not a trial arm",18,21,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"point prevalence",5,16,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"paid employment construct",5,11,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"eligible diagnosis group",1,10,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"at least half the sample has a qualifying diagnosis",0,10,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"horizon t12m",5,5,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"numerator and denominator both recoverable",0,5,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"non-zero denominator",0,5,"PURPOSIVE PILOT - NOT FOR INFERENCE"
"one result per cohort",3,2,"PURPOSIVE PILOT - NOT FOR INFERENCE"
