"horizon","clause","rows_removed","rows_remaining","cohorts_remaining","sample_status","generated"
"t12m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","no unresolved conflict in the source",50,205,62,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","no employment-related selection at recruitment",90,115,41,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","no employment-related analytic restriction",4,111,38,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","whole recruited cohort, not an allocated arm",38,73,31,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","trial-derived whole-cohort safeguards",8,65,29,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","point prevalence",19,46,22,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","outcome construct (paid_any)",33,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","eligible diagnosis group",0,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","at least half the sample has a qualifying diagnosis",0,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","horizon t12m",9,4,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","numerator and denominator both recoverable",0,4,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","non-zero denominator",0,4,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","one result per cohort",1,3,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","no unresolved conflict in the source",50,205,62,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","no employment-related selection at recruitment",90,115,41,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","no employment-related analytic restriction",4,111,38,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","whole recruited cohort, not an allocated arm",38,73,31,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","trial-derived whole-cohort safeguards",8,65,29,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","point prevalence",19,46,22,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","outcome construct (paid_any)",33,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","eligible diagnosis group",0,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","at least half the sample has a qualifying diagnosis",0,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","horizon t24m",13,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","numerator and denominator both recoverable",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","non-zero denominator",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","one result per cohort",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","no unresolved conflict in the source",50,205,62,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","no employment-related selection at recruitment",90,115,41,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","no employment-related analytic restriction",4,111,38,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","whole recruited cohort, not an allocated arm",38,73,31,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","trial-derived whole-cohort safeguards",8,65,29,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","point prevalence",19,46,22,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","outcome construct (paid_any)",33,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","eligible diagnosis group",0,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","at least half the sample has a qualifying diagnosis",0,13,12,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","horizon t60m",13,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","numerator and denominator both recoverable",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","non-zero denominator",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","one result per cohort",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","no unresolved conflict in the source",50,205,62,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","no employment-related selection at recruitment",90,115,41,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","no employment-related analytic restriction",4,111,38,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","whole recruited cohort, not an allocated arm",38,73,31,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","trial-derived whole-cohort safeguards",8,65,29,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
