"horizon","form","cohort_id","result_id","observed","lower","upper","inside","ppc_p_two_sided","sample_status","result_status"
"t12m","conditional","pune_private","khare2021_cohort_t12m_paidany",0.629385964912281,0.55921052631579,0.68421052631579,TRUE,0.866833333333333,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","conditional","pune_public","khare2022b_cohort_t12m_paidany",0.495327102803738,0.373831775700935,0.644859813084112,TRUE,0.9065,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","new_cohort","pune_private","khare2021_cohort_t12m_paidany",0.629385964912281,0.177631578947368,0.778508771929825,TRUE,0.389166666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","new_cohort","pune_public","khare2022b_cohort_t12m_paidany",0.495327102803738,0.168224299065421,0.785046728971963,TRUE,0.828,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","conditional","pepp_ontario_1997","bhullar2018_cohort_t120m_paidany",0.538461538461538,0.353846153846154,0.692307692307692,TRUE,0.905666666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","conditional","carstairs_1992","thomson2023_cohort_t240m_paidany",0,0,0.125,TRUE,0.481666666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","conditional","pku_beijing","xu2020_cohort_t125m_paidany",0.370967741935484,0.193548387096774,0.532258064516129,TRUE,0.957,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","new_cohort","pepp_ontario_1997","bhullar2018_cohort_t120m_paidany",0.538461538461538,0.0153846153846154,0.8,TRUE,0.274666666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","new_cohort","carstairs_1992","thomson2023_cohort_t240m_paidany",0,0.0178571428571429,0.785714285714286,FALSE,0.042,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","new_cohort","pku_beijing","xu2020_cohort_t125m_paidany",0.370967741935484,0.0161290322580645,0.806451612903226,TRUE,0.5865,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
