"horizon","horizon_label","k_cohorts","setting","varied","intercept_mean","intercept_sd","tau_sd","estimate","interval_lo","interval_hi","predictive_new_cohort_lo","predictive_new_cohort_hi","tau_median","tau_lo","tau_hi","sample_status","prior_hash","result_status"
"t12m","12 months (observed 12 months)",2,"primary","primary",-1.1,0.8,0.5,0.528433540307061,0.294578926815858,0.658817508594055,0.172907332667408,0.77713458843119,0.429865,0.087505025,1.10977475,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","f2be5387","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"grid_intercept_mean_-1.4","intercept_mean",-1.4,0.8,0.5,0.512521493884562,0.266143376772477,0.643644097943117,0.155388830718819,0.756863167046469,0.453889,0.0907008325,1.1311335,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","48bfc7e1","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"grid_intercept_mean_-0.8","intercept_mean",-0.8,0.8,0.5,0.542530849806506,0.32936763242117,0.664010733485405,0.204292670869737,0.77512919862461,0.3994755,0.06565344,1.055192,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","ecbdd225","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"grid_intercept_sd_0.5","intercept_sd",-1.1,0.5,0.5,0.441248653278224,0.234008928094769,0.599939186361923,0.102736329700369,0.744878090030851,0.567705,0.152092575,1.25871225,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","f24f7ef6","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"grid_intercept_sd_1.5","intercept_sd",-1.1,1.5,0.5,0.56608805045533,0.360477451122057,0.714384949189729,0.243519753938074,0.810356780465733,0.383952,0.0690009825,1.0220735,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","d268a1e9","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"grid_tau_sd_0.25","tau_sd",-1.1,0.8,0.25,0.557128190757789,0.404437735438791,0.650182192047245,0.327407208169813,0.716022802716306,0.2651025,0.0447441475,0.6026324,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","41676adf","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"grid_tau_sd_1","tau_sd",-1.1,0.8,1,0.485565112331438,0.197135602580215,0.657433775860302,0.064267870637498,0.831315046331749,0.6509235,0.1206979,1.99964925,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","358896d6","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)",2,"weak","weak",0,5,2,0.573528600580531,0.128706082320406,0.906610726776125,0.0332992388691629,0.978094273658562,0.8321325,0.12209405,3.430283,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","e5d9fb27","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","10 years or more (observed 120 to 240 months)",3,"primary","primary",-1.1,0.8,0.5,0.225946980681985,0.093770204969603,0.450765888195301,0.0231505262291038,0.778295377156154,1.09815,0.656115625,1.722613,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","f2be5387","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","10 years or more (observed 120 to 240 months)",3,"grid_intercept_mean_-1.4","intercept_mean",-1.4,0.8,0.5,0.205034575891606,0.0794373611777055,0.418475435121276,0.0180989656071781,0.760057048698188,1.109895,0.65752825,1.7156715,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","48bfc7e1","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
