"fit_id","n_variables_audited","max_rhat","worst_rhat_variable","min_ess_bulk","worst_ess_bulk_variable","min_ess_tail","max_mcse_mean","num_divergent","max_treedepth","num_max_treedepth","min_ebfmi","escalations","pass","failure_reason","sample_status","result_status"
"prevalence_t12m",6,1.00270208905402,"sd_cohort_id__Intercept",2432.74941095486,"r_cohort_id[pune_private,Intercept]",2817.32419818616,0.0329354998752679,0,12,0,0.817028017432958,1,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_grid_intercept_mean_-1.4",6,1.00123653100416,"r_cohort_id[pune_public,Intercept]",2130.67661746362,"r_cohort_id[pune_private,Intercept]",2511.10160189391,0.0369590521220243,0,12,0,0.801295740539104,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_grid_intercept_mean_-0.8",6,1.0021949275383,"lp__",2150.57770040915,"sd_cohort_id__Intercept",2131.50272620185,0.038770057196748,0,12,0,0.764970904223233,1,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_grid_intercept_sd_0.5",6,1.00101061488635,"b_Intercept",2556.4236285126,"b_Intercept",3268.0265116743,0.034568613010122,0,12,0,0.820123493382321,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_grid_intercept_sd_1.5",6,1.00209496124498,"sd_cohort_id__Intercept",2528.58148591005,"sd_cohort_id__Intercept",2879.80142205771,0.0322370752967951,0,12,0,0.813549531225771,1,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_grid_tau_sd_0.25",6,1.00153454306407,"r_cohort_id[pune_public,Intercept]",2737.23547189903,"r_cohort_id[pune_private,Intercept]",2632.09835936564,0.0315862532481578,0,12,0,0.808682243070492,1,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_grid_tau_sd_1",6,1.00466926039914,"sd_cohort_id__Intercept",1986.28029901049,"r_cohort_id[pune_private,Intercept]",2753.75752476737,0.0372182841239016,0,12,0,0.76807029547326,1,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_prior_weak",6,1.00328629597686,"sd_cohort_id__Intercept",1414.74103738279,"lprior",2220.30093034221,0.041005831658531,0,12,0,0.781901952064919,1,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t12m_unclear_selection_included",7,1.00081926412426,"sd_cohort_id__Intercept",2944.58391783401,"b_Intercept",3308.62351320138,0.0289313223652834,0,12,0,0.967344499412242,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"prevalence_t120m",7,1.00256571697378,"b_Intercept",3413.49183496198,"b_Intercept",4050.74053153065,0.0261832502214215,0,12,0,0.943235389875795,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
