"horizon","form","cohort_id","result_id","observed","lower","upper","inside","bayes_p","sample_status","result_status"
"t12m","conditional","pune_private","khare2021_cohort_t12m_paidany",0.629385964912281,0.55921052631579,0.68421052631579,TRUE,0.435416666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","conditional","pune_public","khare2022b_cohort_t12m_paidany",0.495327102803738,0.373831775700935,0.635747663551398,TRUE,0.609,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","new_cohort","pune_private","khare2021_cohort_t12m_paidany",0.629385964912281,0.168859649122807,0.785087719298246,TRUE,0.202666666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","new_cohort","pune_public","khare2022b_cohort_t12m_paidany",0.495327102803738,0.177570093457944,0.785046728971963,TRUE,0.604833333333333,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","conditional","pepp_ontario_1997","bhullar2018_cohort_t120m_paidany",0.538461538461538,0.353846153846154,0.676923076923077,TRUE,0.451916666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","conditional","carstairs_1992","thomson2023_cohort_t240m_paidany",0,0,0.125,TRUE,1,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","conditional","pku_beijing","xu2020_cohort_t125m_paidany",0.370967741935484,0.209677419354839,0.532258064516129,TRUE,0.479666666666667,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","new_cohort","pepp_ontario_1997","bhullar2018_cohort_t120m_paidany",0.538461538461538,0.0153846153846154,0.8,TRUE,0.139833333333333,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","new_cohort","carstairs_1992","thomson2023_cohort_t240m_paidany",0,0.0178571428571429,0.785714285714286,FALSE,1,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","new_cohort","pku_beijing","xu2020_cohort_t125m_paidany",0.370967741935484,0.0161290322580645,0.790322580645161,TRUE,0.291333333333333,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
