"moderator","tier","status","n_cohorts","reason","estimate","q_lo","q_hi","sample_status","result_status"
"horizon","confirmatory","not reported",2,"2 cohorts, below the minimum of 10",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"diagnosis_group","confirmatory","not reported",2,"levels below the minimum of 10 per level: smi_mixed",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"country_income_level","confirmatory","not reported",2,"levels below the minimum of 10 per level: lower_middle",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"outcome_construct","confirmatory","not reported",2,"levels below the minimum of 10 per level: paid_any",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"mean_age","exploratory","not reported",1,"1 cohorts, below the minimum of 10",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"perc_female","exploratory","not reported",2,"2 cohorts, below the minimum of 10",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"perc_post_secondary","exploratory","not reported",0,"0 cohorts, below the minimum of 10",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"perc_employed_baseline","exploratory","not reported",2,"2 cohorts, below the minimum of 10",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"region","exploratory","not reported",2,"levels below the minimum of 10 per level: asia_south",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"setting","exploratory","not reported",2,"levels below the minimum of 10 per level: community_smh",NA,NA,NA,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
