"quantity","scale","median","sd","q_lo","q_hi","hdi_lower","hdi_upper","n_draws","report_hdi","sample_status","horizon","analysis","k_cohorts","k_results","nested","result_status"
"pooled_proportion","proportion",0.528433540307061,0.0928787237023149,0.294578926815858,0.658817508594055,0.30658428229244,0.667789455637222,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t12m","primary",2,2,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"pooled_logit","logit",0.113857,0.389266982683796,-0.873247925,0.658029075,-0.810155,0.704039,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t12m","primary",2,2,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"between_cohort_sd","logit",0.429865,0.269973628005002,0.087505025,1.10977475,0.0247802,0.996466,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t12m","primary",2,2,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"new_cohort_true_proportion","proportion",0.534766896137656,0.143652105294544,0.18192289300217,0.770124817481209,0.180608609182962,0.76790309507915,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t12m","primary",2,2,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"true_proportion_range_lower","proportion",0.323324864130248,0.138337707576875,0.0579119453135931,0.559394957144929,0.0656145531340204,0.565117209196658,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t12m","primary",2,2,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"true_proportion_range_upper","proportion",0.707311863219939,0.0836858431908388,0.581572735522728,0.899216214181662,0.581104955880508,0.898693757844319,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t12m","primary",2,2,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"pooled_proportion","proportion",0.225946980681985,0.0920493732728537,0.093770204969603,0.450765888195301,0.0775378600871834,0.422422654808217,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t120m","primary",3,3,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"pooled_logit","logit",-1.23134,0.52307003604839,-2.26844575,-0.197576675,-2.22544,-0.171863,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t120m","primary",3,3,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"between_cohort_sd","logit",1.09815,0.275887313547247,0.656115625,1.722613,0.633534,1.68478,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t120m","primary",3,3,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"new_cohort_true_proportion","proportion",0.230340849578176,0.206110751086742,0.022244460589693,0.783380567451936,0.00250599797035501,0.705998699702192,12000,TRUE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t120m","primary",3,3,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"true_proportion_range_lower","proportion",0.0326886523727904,0.0285573814995563,0.00596820438776513,0.113151424699257,0.00152633410942897,0.0963612381582552,12000,TRUE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t120m","primary",3,3,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"true_proportion_range_upper","proportion",0.710230565301553,0.131301559937315,0.43393135250066,0.928153058119162,0.463191729770554,0.948834020829382,12000,FALSE,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","t120m","primary",3,3,FALSE,"PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
